STATISTIC	pval	fdr
SRR8615223	0.27552467385139	0.0113417682487438	1
SRR8615226	-0.833806012478729	6.66133814775094e-16	6.60804744256893e-13
SRR8615227	-0.323028927963698	0.0011569468392858	0.425756436857174
SRR8615228	-0.563953488372093	1.32335142843942e-10	1.0136871941846e-07
SRR8615229	0.426687464549064	4.04270786846794e-06	0.00214667787815648
SRR8615230	-0.198383437322745	0.11714051284405	1
SRR8615231	0.470221213840045	5.73157973415839e-07	0.000336443730395097
SRR8615232	0.537294384571753	5.73602476627855e-09	3.97506516303103e-06
SRR8615234	0.365002836074872	0.000144504720885452	0.061992525259859
SRR8615236	0.483550765740216	8.53155933677741e-08	5.36635082283299e-05
SRR8615237	-0.136273397617697	0.501349360390739	1
SRR8615238	0.491917186613727	1.3822320765744e-07	8.54546251050081e-05
SRR8615239	0.247163925127623	0.0311406768570694	1
SRR8615240	0.60436755530346	3.10957926075162e-11	2.44723887821152e-08
SRR8615241	-0.306721497447533	0.00240526783167283	0.839438473253818
SRR8615243	-0.387833238797504	4.15513539616663e-05	0.0193629309461365
SRR8615244	-0.63712422007941	1.94688709598267e-12	1.62759761224152e-09
SRR8615247	-0.695830969937606	6.66133814775094e-16	6.60804744256893e-13
SRR8615249	0.764463981849121	6.66133814775094e-16	6.60804744256893e-13
SRR8615250	-0.424418604651163	4.70033777888457e-06	0.00245827665835663
SRR8615252	-0.16747022121384	0.259997848521021	1
SRR8615253	0.158820192853091	0.31656513204237	1
SRR8615254	0.621525808281339	7.41795513903298e-12	6.00854366261672e-09
SRR8615255	0.341321610890528	0.000713990148364263	0.274886207120241
SRR8615257	0.228871242200794	0.0466475128825423	1
SRR8615258	-0.15414066931367	0.35110145990628	1
SRR8615260	0.31310266591038	0.0018154447473171	0.655375553781472
SRR8615262	0.223908111174135	0.0656879978629403	1
SRR8615263	0.250992626205332	0.0220065894895382	1
SRR8615264	0.241066364152014	0.0310944934305347	1
SRR8615265	-0.43321043675553	2.70274788161107e-06	0.00145948385606998
SRR8615266	-0.380884855360182	6.05187304751897e-05	0.0273544661747858
SRR8615269	-0.358905275099263	0.000308570393346419	0.124353868518607
SRR8615271	0.276233692569484	0.00853539574847806	1
SRR8615274	-0.32884288145207	0.000876126972982227	0.3302998688143
SRR8615275	-0.353516732841747	0.000262262193817642	0.107002975077598
SRR8615276	-0.160947249007374	0.34067312236854	1
SRR8615277	-0.240357345433919	0.0318940932096361	1
SRR8615278	-0.324163357912649	0.00109651382404496	0.404613601072592
SRR8615281	-0.433919455473624	2.53733871347084e-06	0.00137523758270119
SRR8615284	-0.188457175269427	0.153610896055565	1
SRR8615287	0.154707884288145	0.34608631073445	1
SRR8615288	0.14931934203063	0.388073481362207	1
SRR8615296	-0.489222915484969	5.65939261010229e-08	3.61635187785536e-05
SRR8615297	-0.250992626205332	0.0273457804664652	1
SRR8615301	-0.467101531480431	2.76484977912439e-07	0.000167549896614938
SRR8615311	0.615428247305729	1.24013022073655e-11	9.9458443703071e-09
SRR8615312	0.390102098695406	3.63608417354166e-05	0.0170895956156458
SRR8615313	-0.412223482699943	9.96438291078761e-06	0.00509179966741247
SRR8615316	0.382161089052751	5.69152731230149e-05	0.0258964492709718
SRR8615320	0.274673851389677	0.00910620451377686	1
SRR8615323	0.637549631310267	1.87616588931405e-12	1.57222701524518e-09
SRR8615324	0.633720930232558	2.61402011147993e-12	2.17747875286278e-09
SRR8615325	0.682501418037436	3.28626015289046e-14	2.95434787744853e-11
SRR8615326	0.680232558139535	4.06341627012807e-14	3.64082097803475e-11
SRR8615329	0.200368689733409	0.129691859268509	1
SRR8615330	-0.573454339194555	5.54417622922188e-11	4.30228075387618e-08
SRR8615333	0.464123652864436	8.45005637906127e-07	0.000486723247433929
SRR8615335	-0.495320476460579	3.58886277362913e-08	2.32917194008531e-05
SRR8615336	-0.220504821327283	0.0608752050207648	1
SRR8615337	-0.613868406125922	1.19670939824346e-12	1.01600627910869e-09
SRR8615338	-0.493760635280771	3.94023967897894e-08	2.54933507229937e-05
SRR8615339	0.57884288145207	2.43429831847664e-10	1.83059233549443e-07
SRR8615340	0.337492909812819	0.000852310769521414	0.322173470879094
SRR8615341	0.132019285309132	0.541310308790334	1
SRR8615343	0.288003403289847	0.00702417219983353	1
SRR8615345	0.19909245604084	0.114830973287205	1
SRR8615346	0.353233125354509	0.000406332815716559	0.161720460655191
SRR8615349	0.190158820192853	0.146304095021185	1
SRR8615350	0.177821894498015	0.231565341580344	1
SRR8615353	0.398184912081679	2.27759598786514e-05	0.0111146684207819
SRR8615354	0.336074872376631	0.000909622998254589	0.340199001347216
SRR8615355	0.304736245036869	0.00357361232854991	1
SRR8615356	0.463698241633579	8.6803903742716e-07	0.00049825440748319
SRR8615357	0.509075439591605	4.28895085002878e-08	2.77066224911859e-05
SRR8615358	-0.223908111174135	0.0656879978629404	1
SRR8615359	0.47093023255814	2.12892489526162e-07	0.000130077311100485
SRR8615362	-0.769001701644923	6.66133814775094e-16	6.60804744256893e-13
SRR8615363	0.166903006239365	0.298743336500592	1
SRR8615366	-0.78275666477595	0	0
SRR8615367	0.196823596142938	0.142737951682801	1
SRR8615368	0.153715258082813	0.396614934015673	1
SRR8615369	0.253403289846852	0.0200631364345754	1
SRR8615371	-0.552467385138968	3.49051676451495e-10	2.59694447279912e-07
SRR8615373	0.273964832671583	0.00930366033590435	1
SRR8615375	-0.425553034600113	4.36155838068331e-06	0.00229417970823942
SRR8615376	0.244611457742484	0.0339211919893426	1
SRR8615378	0.19299489506523	0.157996416081431	1
SRR8615379	-0.0974191718661372	0.865317703065471	1
SRR8615381	-0.59826999432785	5.57043300375426e-12	4.55104376406723e-09
SRR8615384	0.745036868973341	1.11022302462516e-16	1.11577413974828e-13
SRR8615388	0.668037436188315	4.55191440096314e-15	4.20596890648994e-12
SRR8615390	0.414492342597845	8.62095644471594e-06	0.004431171612584
SRR8615391	0.454197390811117	1.57251259114144e-06	0.000871171975492357
SRR8615392	-0.831537152580828	6.66133814775094e-16	6.60804744256893e-13
SRR8615393	-0.619965967101532	6.48592290986016e-13	5.57140777956988e-10
SRR8615394	0.583380601247873	1.69948277672916e-10	1.29500587586762e-07
SRR8615395	-0.148893930799773	0.43684151866995	1
SRR8615397	0.211712989222916	0.0943312060438324	1
SRR8615398	-0.685904707884288	1.11022302462516e-15	1.04805053524615e-12
SRR8615399	-0.36528644356211	0.000140841899865518	0.0605620169421728
SRR8615402	-0.551332955190017	3.87732401740948e-10	2.88085174493524e-07
SRR8615405	0.37989222915485	0.000107286760716363	0.0472061747151997
SRR8615407	-0.467101531480431	2.76484977912439e-07	0.000167549896614938
SRR8615408	0.271695972773681	0.0130821058534326	1
SRR8615410	0.607770845150312	2.19047002758543e-12	1.82904247303384e-09
SRR8615412	-0.395490640952921	2.67903244328682e-05	0.0128593557277767
SRR8615415	0.753403289846852	0	0
SRR8615416	0.638684061259217	1.69997349530604e-12	1.43137768304769e-09
SRR8615419	0.714549064095292	1.55431223447522e-15	1.46105350040671e-12
SRR8615420	0.693562110039705	1.16573417585641e-14	1.06081810002934e-11
SRR8615426	-0.2281622234827	0.0477690164596847	1
SRR8615428	-0.178247305728871	0.229198594988207	1
SRR8615429	-0.147759500850822	0.446627821121857	1
SRR8615430	0.514463981849121	2.94541550038829e-08	1.93371735024428e-05
SRR8615434	0.195263754963131	0.148804458326045	1
SRR8615438	-0.480431083380601	2.95845700715169e-07	0.000178394957531247
SRR8615439	-0.340612592172433	0.000737903343929536	0.28303522931823
SRR8615440	0.126630743051617	0.645517473931259	1
SRR8615442	0.644781622234827	5.01820807130571e-14	4.4862780157473e-11
SRR8615443	0.122234826999433	0.636254466213045	1
SRR8615446	0.276233692569484	0.011043447181773	1
SRR8615447	0.639818491208168	1.53999035745755e-12	1.30129185205163e-09
SRR8615448	0.321469086783891	0.00175004651008681	0.635266883161512
SRR8615450	-0.396199659671015	2.56096977359066e-05	0.0123694840064429
SRR8615454	0.0743051616562677	0.98262182512645	1
SRR8615457	0.269710720363018	0.0110373909149397	1
SRR8615458	-0.139676687464549	0.470947902400145	1
SRR8615459	-0.171724333522405	0.26752984645604	1
SRR8615461	-0.506381168462847	1.55017839675864e-08	1.0494707746056e-05
SRR8615462	-0.535734543391945	1.48157686119532e-09	1.06229060947705e-06
SRR8615464	-0.122093023255814	0.638006327851991	1
SRR8615465	-0.408111174134997	1.26284856214465e-05	0.00636475675320902
SRR8615467	-0.204197390811117	0.0991053211887922	1
SRR8615470	-0.478587634713556	1.22851615214081e-07	7.64137046631586e-05
SRR8615473	-0.158678389109472	0.317880002177243	1
SRR8615474	-0.502127056154282	2.07003323371424e-08	1.37243203395254e-05
SRR8615475	-0.788428814520703	6.66133814775094e-16	6.60804744256893e-13
SRR8615476	-0.487663074305162	6.20749494029127e-08	3.96038177190583e-05
SRR8615479	0.237237663074305	0.0432122141858695	1
SRR8615480	-0.335224049914918	0.000650177270163921	0.251618603553437
SRR8615483	-0.283040272263188	0.0065385708778285	1
SRR8615484	-0.48425978445831	8.12009205430897e-08	5.12377808626896e-05
SRR8615488	0.479722064662507	1.13640108212465e-07	7.07977874163657e-05
SRR8615493	-0.227027793533749	0.0495381876041163	1
SRR8615494	0.489648326715825	1.60872065002593e-07	9.87754479115921e-05
SRR8615495	-0.660380034032898	9.43689570931383e-15	8.64419646973147e-12
SRR8615499	0.465683494044243	7.65495407839545e-07	0.000443221841139096
SRR8615501	0.557855927396483	2.26265672864656e-10	1.70604317339951e-07
SRR8615503	0.140527509926262	0.511616501911205	1
SRR8615505	0.297929665343165	0.00352674666144159	1
SRR8615506	0.709160521837777	2.66453525910038e-15	2.48601139674065e-12
SRR8615508	-0.33252977878616	0.000737070909682891	0.28303522931823
SRR8615511	-0.283040272263188	0.0065385708778285	1
SRR8615513	0.221781055019853	0.0582029160265408	1
SRR8615514	0.175269427112876	0.246153003443893	1
SRR8615515	-0.558564946114577	2.0512014309304e-10	1.54865708035246e-07
SRR8615516	-0.366846284741917	0.000130607429131624	0.0566836242431248
SRR8615518	0.371100397050482	0.000104390409207067	0.0460361704603165
SRR8615521	0.461429381735678	1.00149742698896e-06	0.000569852035956719
SRR8615524	0.188457175269427	0.177736037579575	1
SRR8615525	-0.476602382302893	1.38394772308814e-07	8.54546251050081e-05
SRR8615526	0.452212138400454	1.77762968012196e-06	0.000977696324067079
SRR8615528	-0.342030629608622	0.000462939440943	0.181935200290599
SRR8615529	-0.350822461712989	0.000299177361195557	0.120867653923005
SRR8615532	-0.523539421440726	4.01614985712229e-09	2.81532104984272e-06
SRR8615533	0.495320476460579	3.58886277362913e-08	2.32917194008531e-05
SRR8615535	0.36656267725468	0.000211335090014142	0.0872813921758406
SRR8615536	-0.237663074305162	0.0349153920830153	1
SRR8615537	-0.317640385706183	0.00147360767251981	0.537866800469729
SRR8615538	0.481281905842314	9.95738056452922e-08	6.22336285283076e-05
SRR8615539	0.264038570618264	0.0136286123883147	1
SRR8615540	0.369965967101532	0.000110799556367724	0.0485302056890633
SRR8615541	0.505246738513897	5.5881480220954e-08	3.58200288216315e-05
