ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1080,1227,1017	27,42,12	1217,1339,1510	20,16,18	200	100
1	106,84,127	103,98,89	131,93,92	131,94,92	200	100
2	18,10,9	106,133,98	14,12,13	153,135,141	200	100
3	16,4,5	207,142,178	11,9,1	220,185,214	200	100
4	18,12,32	1037,1252,1484	439,460,360	23282,23481,25508	200	100
5	28,17,26	1,0,0	500,507,406	7,6,0	200	100
6	21,19,21	1193,1582,1650	501,531,414	26902,27024,30000	200	100
8	63,50,37	317,288,359	104,96,100	421,447,405	200	100
9	229,356,256	0,3,0	450,602,523	1,4,2	200	100
10	57,33,49	681,450,663	24,11,39	552,372,506	200	100
13	54,24,42	559,472,673	5,6,16	118,220,261	188	100
14	28,13,20	612,622,742	20,20,29	294,300,388	200	100
15	45,28,27	1435,1552,1428	43,35,34	1103,1289,1304	200	100
16	359,346,412	44,22,32	300,334,347	39,20,20	200	100
17	134,132,147	8,14,8	212,262,219	6,5,6	191	100
18	26,23,45	4,6,3	38,31,28	2,2,0	182	100
19	2,1,7	2,1,9	0,2,0	1,5,6	200	100
20	23,18,38	998,970,1377	18,29,21	1305,1705,994	200	100
21	448,353,462	5,1,9	676,560,498	2,5,5	200	100
23	948,615,906	30,54,33	522,475,598	15,34,29	200	100
24	248,148,289	241,205,246	103,105,105	152,171,177	200	100
26	10,9,12	103,89,137	6,8,4	101,95,58	200	100
27	17,19,11	1,1,0	9,7,9	0,0,0	200	100
28	19,15,22	3,3,4	7,10,5	0,1,1	200	100
29	15,9,7	0,3,4	4,2,7	0,2,3	200	100
31	45,48,49	124,231,184	21,21,21	90,115,108	200	100
32	20,25,38	140,185,163	22,15,13	139,113,122	200	100
35	129,129,106	63,115,128	115,93,109	83,94,73	200	100
37	95,60,73	42,63,58	65,97,79	57,99,76	200	100
38	222,223,264	0,0,1	214,287,251	3,1,0	184	100
41	199,168,174	1689,1463,1730	86,92,102	656,777,985	200	100
42	176,193,144	10,3,4	85,89,100	2,3,10	200	100
43	1880,1556,1997	15,31,41	894,881,1017	21,26,26	192	100
45	18,48,15	18,12,15	38,26,17	6,3,17	200	100
46	107,102,125	4666,4141,4979	107,78,94	3033,3325,3789	200	100
47	126,69,104	3417,3211,3560	50,70,67	1793,1962,2226	200	100
48	63,36,50	421,186,349	32,47,43	197,186,275	200	100
50	9,21,10	55,83,67	15,12,6	53,33,28	200	100
52	190,133,253	18,16,11	276,319,157	14,33,21	200	100
53	122,60,110	97,60,76	146,166,71	86,52,57	200	100
63	49,49,64	2343,2707,2772	61,56,66	2329,3247,3092	200	100
64	2526,1395,2426	0,0,2	1141,985,1381	1,5,4	200	100
65	3622,4478,3439	60,160,76	2505,2689,3230	58,68,68	200	100
66	3935,4717,3818	225,139,223	2732,3036,3541	136,146,198	200	100
67	218,219,139	1439,1463,1403	168,166,135	946,1236,1215	200	100
68	1032,994,1061	73,66,70	808,896,957	50,57,48	200	100
69	206,253,211	2777,3265,2851	284,278,268	2062,2286,2515	200	100
70	48,27,36	18,20,5	37,42,41	2,12,12	200	100
71	20,15,14	15,2,7	23,5,14	10,10,7	200	100
72	86,37,83	5,6,2	35,27,39	0,5,6	200	100
73	97,62,72	5,2,1	53,38,28	6,6,17	200	100
74	26,19,46	597,579,723	35,39,31	419,475,381	200	100
76	27,35,22	20,3,2	37,35,22	17,22,9	200	100
77	2,7,4	315,374,444	3,1,0	411,474,401	200	100
78	142,111,169	354,173,311	60,80,83	237,217,229	200	100
