ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1444,1573,1348	27,42,12	1612,1759,1973	20,16,18	281	100
1	256,196,264	103,98,89	279,215,189	131,94,92	495	100
2	51,39,34	106,133,98	48,23,34	153,135,141	452	100
3	39,20,30	207,142,178	42,19,9	220,185,214	747	100
4	37,35,55	1037,1252,1484	988,936,828	23282,23481,25508	556	100
5	59,59,83	1,0,0	1688,1683,1395	7,6,0	1004	100
6	27,36,41	1193,1582,1650	917,971,783	26902,27024,30000	504	100
8	461,446,396	317,288,359	778,836,644	421,447,405	1269	100
9	1471,2264,1598	0,3,0	3053,3891,3057	1,4,2	1424	100
10	63,36,57	681,450,663	28,11,39	552,372,506	239	100
13	54,24,42	559,472,673	5,6,16	118,220,261	188	100
14	74,41,64	612,622,742	62,53,55	294,300,388	543	100
15	56,32,31	1435,1552,1428	55,41,40	1103,1289,1304	253	100
16	371,355,419	44,22,32	323,342,355	39,20,20	277	100
17	134,132,147	8,14,8	212,262,219	6,5,6	191	100
18	26,23,45	4,6,3	38,31,28	2,2,0	182	100
19	7,5,20	2,1,9	2,15,8	1,5,6	912	100
20	61,54,94	998,970,1377	75,111,50	1305,1705,994	1145	100
21	6481,6240,6653	5,1,9	9927,9634,10049	2,5,5	4748	100
23	998,658,954	30,54,33	543,508,639	15,34,29	215	100
24	704,501,818	241,205,246	355,317,371	152,171,177	729	100
26	75,48,80	103,89,137	57,67,31	101,95,58	905	100
27	56,57,84	1,1,0	26,34,30	0,0,0	681	100
28	187,156,208	3,3,4	97,123,77	0,1,1	1682	100
29	36,23,27	0,3,4	12,19,27	0,2,3	479	100
31	93,111,131	124,231,184	36,47,56	90,115,108	479	100
32	90,101,164	140,185,163	84,76,69	139,113,122	651	100
35	140,151,127	63,115,128	129,111,129	83,94,73	277	100
37	124,86,92	42,63,58	101,156,134	57,99,76	302	100
38	222,223,264	0,0,1	214,287,251	3,1,0	184	100
41	519,450,423	1689,1463,1730	218,207,274	656,777,985	554	100
42	360,350,277	10,3,4	139,143,193	2,3,10	387	100
43	1880,1556,1997	15,31,41	894,881,1017	21,26,26	192	100
45	82,165,77	18,12,15	108,98,83	6,3,17	592	100
46	142,136,177	4666,4141,4979	158,107,153	3033,3325,3789	347	100
47	147,87,108	3417,3211,3560	56,76,79	1793,1962,2226	295	100
48	84,54,54	421,186,349	38,53,53	197,186,275	286	100
50	41,94,50	55,83,67	48,40,47	53,33,28	2159	100
52	191,133,255	18,16,11	281,321,159	14,33,21	203	100
53	493,357,576	97,60,76	706,807,394	86,52,57	758	100
63	51,49,69	2343,2707,2772	69,64,74	2329,3247,3092	239	100
64	18863,13401,17538	0,0,2	11580,9579,13190	1,5,4	1830	100
65	4162,5012,3819	60,160,76	2831,3094,3660	58,68,68	215	100
66	6827,8075,6507	225,139,223	4705,5152,6094	136,146,198	336	100
67	428,403,322	1439,1463,1403	358,388,323	946,1236,1215	336	100
68	1294,1224,1275	73,66,70	1040,1151,1174	50,57,48	374	100
69	213,265,218	2777,3265,2851	296,285,275	2062,2286,2515	206	100
70	54,33,39	18,20,5	43,52,49	2,12,12	234	100
71	51,28,38	15,2,7	36,15,24	10,10,7	402	100
72	118,53,103	5,6,2	44,33,53	0,5,6	251	100
