ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr9:139753769-139754337|+|139753660|139754516	ENSG00000177943.14_4	MAMDC4	chr9	+	139753660	139754516	139753660	139753769	139754337	139754516	chr9:139753769-139754337|+|139753660|139754516	97,62,72	5,2,1	53,38,28	6,6,17	200	100	1.89496795522e-05	0.000573964738437	0.907,0.939,0.973	0.815,0.76,0.452	0.264
chr9:95475743-95477534|-|95473644|95477745	ENSG00000185963.14_3	BICD2	chr9	-	95473644	95477745	95473644	95475743	95477534	95477745	chr9:95475743-95477534|-|95473644|95477745	142,111,169	354,173,311	60,80,83	237,217,229	200	100	0.000356383170824	0.00630541205264	0.167,0.243,0.214	0.112,0.156,0.153	0.068
chr8:145698434-145698514|+|145698177|145699585	ENSG00000167702.12_3	KIFC2	chr8	+	145698177	145699585	145698177	145698434	145698514	145699585	chr8:145698434-145698514|+|145698177|145699585	423,413,389	131,190,206	42,80,83	32,83,76	180	100	1.52238688722e-06	7.06068465372e-05	0.642,0.547,0.512	0.422,0.349,0.378	0.184
chr12:53878149-53878839|-|53878040|53878998	ENSG00000139625.13_4	MAP3K12	chr12	-	53878040	53878998	53878040	53878149	53878839	53878998	chr12:53878149-53878839|-|53878040|53878998	56,77,84	52,71,56	138,154,97	206,257,157	200	100	1.21845249074e-05	0.000399645901174	0.35,0.352,0.429	0.251,0.231,0.236	0.138
chr8:144800246-144800381|+|144800216|144800472	ENSG00000181085.15_3	MAPK15	chr8	+	144800216	144800472	144800216	144800246	144800381	144800472	chr8:144800246-144800381|+|144800216|144800472	248,173,236	12,28,24	45,16,15	19,21,15	200	100	1.13466347429e-10	1.62477628472e-08	0.912,0.755,0.831	0.542,0.276,0.333	0.449
chr7:65956226-65956336|-|65956017|65956458	ENSG00000179406.8_5	LINC00174	chr7	-	65956017	65956458	65956017	65956226	65956336	65956458	chr7:65956226-65956336|-|65956017|65956458	19,15,26	0,0,0	12,12,2	6,3,0	200	100	1.19264125764e-06	5.71489465136e-05	1.0,1.0,1.0	0.5,0.667,1.0	0.278
chr2:96479281-96479656|-|96479063|96479705	ENSG00000232931.6_6	LINC00342	chr2	-	96479063	96479705	96479063	96479281	96479656	96479705	chr2:96479281-96479656|-|96479063|96479705	20,33,12	0,0,0	179,367,132	7,14,2	200	100	0.000445712575022	0.00752761288361	1.0,1.0,1.0	0.927,0.929,0.971	0.058
chr15:28900566-28900640|+|28900418|28900837	ENSG00000206149.10_3	HERC2P9	chr15	+	28900418	28900837	28900418	28900566	28900640	28900837	chr15:28900566-28900640|+|28900418|28900837	24,19,23	0,2,0	19,20,7	5,4,1	174	100	7.87080056125e-05	0.00184140706583	1.0,0.845,1.0	0.686,0.742,0.801	0.205
chr6:32944713-32945218|+|32944338|32945347	ENSG00000204256.13_7	BRD2	chr6	+	32944338	32945347	32944338	32944713	32945218	32945347	chr6:32944713-32945218|+|32944338|32945347	383,260,437	890,1181,1276	283,361,212	1313,1697,1296	200	100	4.70366139815e-07	2.56443619427e-05	0.177,0.099,0.146	0.097,0.096,0.076	0.051
chr6:7181479-7182102|+|7181356|7182315	ENSG00000124782.20_6	RREB1	chr6	+	7181356	7182315	7181356	7181479	7182102	7182315	chr6:7181479-7182102|+|7181356|7182315	54,53,102	69,51,97	49,51,13	111,115,66	200	100	9.65232070937e-08	6.65196731134e-06	0.281,0.342,0.345	0.181,0.181,0.09	0.172
