ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45570594	45570852	45571272	45571312	45567600	45567888	45571677	45571738
2	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45570594	45570852	45571272	45571316	45567600	45567888	45571677	45571738
3	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45570594	45570852	45571272	45571316	45567600	45567888	45572323	45572382
4	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45571272	45571312	45571677	45571738	45570594	45570852	45572323	45572382
5	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45571272	45571316	45571677	45571738	45570594	45570852	45572323	45572382
6	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45572459	45572506	45573279	45573362	45572323	45572382	45573794	45573819
7	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45573201	45573362	45573794	45573819	45572459	45572506	45574060	45574213
8	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45573279	45573362	45573794	45573819	45572340	45572506	45574060	45574131
9	"ENSG00000136261.15_3"	"BZW2"	chr7	+	16705061	16705126	16714036	16714213	16685755	16685929	16720925	16721029
10	"ENSG00000136261.15_3"	"BZW2"	chr7	+	16737672	16737811	16744171	16744294	16736539	16736686	16745684	16745822
11	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61910250	61910347	61914170	61914203	61909468	61909555	61916217	61916274
12	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61912642	61912699	61914170	61914203	61910250	61910347	61916217	61916274
13	"ENSG00000136738.15_3"	"STAM"	chr10	+	17702462	17702547	17726673	17726749	17686149	17686378	17726830	17726926
14	"ENSG00000136738.15_3"	"STAM"	chr10	+	17714973	17715077	17726673	17726749	17702462	17702547	17730025	17730172
15	"ENSG00000136738.15_3"	"STAM"	chr10	+	17714973	17715077	17726830	17726926	17702462	17702547	17730025	17730172
16	"ENSG00000136738.15_3"	"STAM"	chr10	+	17726673	17726749	17726830	17726926	17702462	17702547	17730025	17730172
17	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17277888	17278292	17278378	17277167	17277388	17279228	17279592
18	"ENSG00000148468.17_3"	"FAM171A1"	chr10	-	15290637	15290814	15317853	15317946	15262942	15263059	15325876	15326104
19	"ENSG00000148468.17_3"	"FAM171A1"	chr10	-	15296719	15296878	15317853	15317946	15290637	15290814	15325876	15326104
20	"ENSG00000103479.16_4"	"RBL2"	chr16	+	53476569	53476770	53480953	53481018	53472927	53473058	53485614	53485743
21	"ENSG00000184949.16_5"	"FAM227A"	chr22	-	39003393	39003481	39016216	39016296	39001258	39001353	39019176	39019284
22	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13330359	13330541	13333824	13333912	13325689	13325839	13336427	13336596
23	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13330359	13330541	13333830	13333912	13325689	13325839	13336427	13336596
24	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13330359	13330541	13336427	13336596	13325689	13325839	13337495	13337606
25	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13333824	13333912	13336427	13336596	13330359	13330541	13337495	13337606
26	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13333830	13333912	13336427	13336596	13330359	13330541	13337495	13337606
27	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13336427	13336596	13337495	13337606	13333824	13333912	13340186	13340241
28	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208589523	208589598	208615680	208615843	208576409	208576840	208618311	208620898
29	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208589523	208589598	208602134	208602170	208576474	208576840	208606946	208607066
30	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208591565	208591600	208606946	208607066	208589523	208589598	208611770	208611937
31	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208598670	208598771	208602134	208602170	208591565	208591600	208605378	208605430
32	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208598670	208598771	208602134	208602170	208591565	208591600	208606946	208607066
33	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208598670	208598771	208605378	208605430	208591565	208591600	208606946	208607066
34	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208602134	208602170	208605378	208605430	208591565	208591600	208606946	208607066
35	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208602134	208602170	208606946	208607066	208591565	208591600	208611770	208611937
36	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208602134	208602170	208605378	208605430	208598670	208598771	208606946	208607066
37	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208602134	208602170	208606946	208607066	208598670	208598771	208611770	208611937
38	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208606946	208607066	208611770	208611937	208602134	208602170	208615680	208615838
39	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208611770	208611937	208615680	208615843	208606946	208607066	208618311	208619189
40	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72562075	72562149	72606857	72606999	72411203	72411316	72692288	72692468
41	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72802620	72802797	72960199	72960247	72786581	72786650	72968432	72968598
42	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72945231	72945436	72968432	72968598	72802620	72802797	73052926	73053148
43	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72958135	72958181	72960199	72960247	72945231	72945436	72968432	72968598
44	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72958283	72958374	72960199	72960247	72958135	72958181	72968432	72968598
45	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72958283	72958374	72960199	72960247	72958135	72958181	73052926	73053134
46	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72958283	72958374	72968432	72968598	72958135	72958181	73052926	73053148
47	"ENSG00000181192.12_4"	"DHTKD1"	chr10	+	12130984	12131254	12133511	12133683	12129533	12129728	12136071	12136270
48	"ENSG00000181192.12_4"	"DHTKD1"	chr10	+	12139682	12139995	12142176	12142261	12136071	12136270	12143040	12143180
49	"ENSG00000181192.12_4"	"DHTKD1"	chr10	+	12149907	12150014	12154898	12155063	12148244	12148395	12159671	12159754
50	"ENSG00000181192.12_4"	"DHTKD1"	chr10	+	12160747	12160917	12162180	12162266	12159671	12159754	12162785	12165220
51	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3121335	3121398	3126563	3126692	3103903	3104158	3127710	3127754
52	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3121335	3121398	3126563	3126692	3120169	3120234	3127710	3127754
53	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3126563	3126692	3127710	3127754	3121335	3121398	3128280	3128336
54	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3126563	3126692	3127710	3127754	3121335	3121398	3129799	3129939
55	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3126563	3126692	3128280	3128336	3121335	3121398	3129799	3129939
56	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3127710	3127754	3128280	3128336	3121335	3121398	3129799	3129925
57	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3127710	3127754	3128280	3128336	3126563	3126692	3129799	3129939
58	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3131009	3131183	3147133	3147274	3129799	3129939	3149272	3149425
59	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3147133	3147274	3149272	3149425	3131009	3131183	3149530	3149831
60	"ENSG00000145103.15_5"	"ILDR1"	chr3	-	121713028	121713160	121720154	121720301	121711996	121712817	121720591	121720711
61	"ENSG00000145103.15_5"	"ILDR1"	chr3	-	121713028	121713160	121720591	121720711	121711996	121712817	121724090	121724240
63	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177642276	177642431	177651616	177651730	177641796	177641886	177658405	177658524
64	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177651448	177651565	177652355	177652430	177649852	177649935	177656940	177657100
65	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177651448	177651565	177651616	177651730	177649852	177649935	177658405	177658524
66	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177651448	177651565	177656940	177657100	177649852	177649935	177658405	177658524
67	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177651616	177651730	177656940	177657100	177649852	177649935	177658405	177658524
68	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177651642	177651730	177652355	177652430	177651448	177651565	177656940	177657100
69	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177652355	177652430	177656940	177657100	177651642	177651730	177658405	177658524
70	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177656940	177657100	177658405	177658524	177652355	177652430	177659492	177659803
71	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5944982	5945138	5947999	5948595	5937018	5937150	5950887	5951018
72	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5952900	5953091	5955709	5955802	5951121	5951257	5956140	5956232
73	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5957365	5957534	5958196	5958419	5956140	5956232	5959382	5959470
74	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5960304	5960441	5963220	5963320	5959552	5959639	5963410	5963532
75	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5960304	5960441	5963410	5963532	5959552	5959639	5965583	5965659
76	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5969397	5969504	5978418	5978550	5967329	5967455	5979072	5979091
77	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19257363	19257457	19257550	19257684	19257081	19257193	19257844	19257992
78	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19258506	19258641	19260034	19260238	19257844	19257992	19261490	19261573
79	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19261490	19261573	19291494	19291570	19258506	19258641	19293381	19293492
80	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19291494	19291570	19293381	19293492	19261490	19261573	19296842	19296907
81	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19291494	19291570	19293381	19293492	19261490	19261573	19297701	19297814
82	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19291494	19291570	19296842	19296907	19261490	19261573	19297701	19297814
83	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19291494	19291570	19293381	19293492	19268024	19268092	19296842	19296907
84	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19293381	19293492	19296842	19296907	19261490	19261573	19297701	19297814
85	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19293381	19293492	19296842	19296907	19291494	19291570	19297701	19297814
86	"ENSG00000064489.23_4"	"BORCS8-MEF2B"	chr19	-	19296842	19296907	19297701	19297814	19293381	19293492	19302889	19302931
87	"ENSG00000283352.1_6"	"AL021368.4"	chr6	-	58252703	58252788	58256381	58256569	58250694	58250869	58285305	58285389
88	"ENSG00000150990.8_3"	"DHX37"	chr12	-	125465035	125465384	125467056	125467169	125461887	125462036	125470641	125470811
96	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144899500	144899636	144899761	144899952	144899079	144899315	144900031	144900245
97	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144899500	144899636	144900031	144900245	144899079	144899315	144900362	144900455
98	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144900542	144900704	144903987	144904083	144900362	144900455	144906482	144906566
99	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144900542	144900704	144903987	144904083	144900362	144900455	144911449	144911473
100	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144902835	144902886	144903766	144903856	144900542	144900704	144903987	144904083
101	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144902835	144902886	144903987	144904083	144900542	144900704	144906482	144906566
102	"ENSG00000156711.17_3"	"MAPK13"	chr6	+	36098395	36098478	36099047	36099177	36095585	36095732	36100397	36100456
103	"ENSG00000156711.17_3"	"MAPK13"	chr6	+	36099047	36099177	36100397	36100456	36098260	36098478	36103529	36103638
104	"ENSG00000105698.16_4"	"USF2"	chr19	+	35760348	35760395	35760483	35760602	35760004	35760066	35761661	35761708
105	"ENSG00000125944.20_5"	"HNRNPR"	chr1	-	23650048	23650225	23660010	23660124	23640045	23640195	23664246	23664354
106	"ENSG00000125944.20_5"	"HNRNPR"	chr1	-	23650048	23650225	23664246	23664354	23648020	23648156	23664982	23665042
107	"ENSG00000125944.20_5"	"HNRNPR"	chr1	-	23660010	23660124	23664246	23664354	23650048	23650225	23664982	23665101
108	"ENSG00000122218.16_4"	"COPA"	chr1	-	160267345	160267535	160268634	160268721	160267132	160267228	160268891	160269054
109	"ENSG00000122218.16_4"	"COPA"	chr1	-	160267345	160267535	160268634	160268781	160267132	160267228	160268891	160269054
110	"ENSG00000122218.16_4"	"COPA"	chr1	-	160267345	160267535	160268634	160268781	160267132	160267228	160275222	160275361
111	"ENSG00000122218.16_4"	"COPA"	chr1	-	160267345	160267535	160268891	160269054	160267132	160267228	160275222	160275361
112	"ENSG00000122218.16_4"	"COPA"	chr1	-	160268634	160268781	160268891	160269054	160267132	160267228	160275222	160275361
114	"ENSG00000122218.16_4"	"COPA"	chr1	-	160268891	160269054	160275222	160275361	160267345	160267535	160275477	160275563
115	"ENSG00000122218.16_4"	"COPA"	chr1	-	160268891	160269054	160275222	160275361	160268634	160268781	160275477	160275563
116	"ENSG00000122218.16_4"	"COPA"	chr1	-	160283779	160283915	160293220	160293320	160282874	160282957	160295332	160295442
117	"ENSG00000122218.16_4"	"COPA"	chr1	-	160293220	160293320	160295332	160295442	160283779	160283915	160302237	160302280
118	"ENSG00000122218.16_4"	"COPA"	chr1	-	160293220	160293320	160295332	160295358	160283779	160283915	160302237	160302336
119	"ENSG00000122218.16_4"	"COPA"	chr1	-	160303392	160303469	160305031	160305112	160302237	160302347	160309698	160309772
120	"ENSG00000122218.16_4"	"COPA"	chr1	-	160305031	160305112	160309698	160309772	160303392	160303469	160309970	160310084
121	"ENSG00000107929.14_2"	"LARP4B"	chr10	-	890916	890995	909682	909823	888871	889008	910062	910210
122	"ENSG00000107929.14_2"	"LARP4B"	chr10	-	909682	909823	910062	910210	890916	890995	930386	930446
123	"ENSG00000188229.6_3"	"TUBB4B"	chr9	+	140136172	140136281	140136362	140136473	140135738	140135869	140136947	140138159
124	"ENSG00000151893.15_4"	"CACUL1"	chr10	-	120446109	120446153	120450776	120450915	120435922	120445680	120454652	120454742
125	"ENSG00000151893.15_4"	"CACUL1"	chr10	-	120450776	120450915	120454652	120454742	120446109	120446153	120460817	120460920
126	"ENSG00000151893.15_4"	"CACUL1"	chr10	-	120454652	120454742	120460817	120460920	120450776	120450915	120467003	120467099
127	"ENSG00000186481.16_3"	"ANKRD20A5P"	chr18	+	14191860	14191916	14198457	14198488	14189174	14189312	14201130	14201200
128	"ENSG00000186481.16_3"	"ANKRD20A5P"	chr18	+	14191860	14191916	14201130	14201200	14189174	14189312	14205146	14205231
129	"ENSG00000186481.16_3"	"ANKRD20A5P"	chr18	+	14191860	14191916	14205146	14205231	14189174	14189312	14208048	14208077
130	"ENSG00000186481.16_3"	"ANKRD20A5P"	chr18	+	14208169	14208241	14211307	14211415	14208048	14208077	14214211	14214282
131	"ENSG00000112118.19_4"	"MCM3"	chr6	-	52130872	52130942	52131408	52131494	52128806	52129584	52132662	52132766
132	"ENSG00000112118.19_4"	"MCM3"	chr6	-	52141065	52141274	52141864	52141996	52138539	52138714	52142332	52142486
133	"ENSG00000112118.19_4"	"MCM3"	chr6	-	52141864	52141996	52142332	52142486	52140779	52141274	52143539	52143648
134	"ENSG00000233016.7_5"	"SNHG7"	chr9	-	139619506	139619562	139620762	139620868	139618348	139618452	139621497	139621538
135	"ENSG00000233016.7_5"	"SNHG7"	chr9	-	139619506	139619562	139620762	139620868	139619109	139619391	139621497	139621538
136	"ENSG00000198919.13_5"	"DZIP3"	chr3	+	108363010	108363628	108365463	108365496	108361284	108361361	108366789	108366959
137	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123026596	123026674	123028146	123028181	123024222	123024301	123028705	123028816
138	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123028146	123028181	123028705	123028816	123026596	123026674	123030722	123030816
139	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123062218	123062338	123067251	123067532	123061441	123061576	123068824	123068997
140	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123065149	123065217	123067251	123067532	123064451	123064524	123068824	123068997
141	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123082277	123082485	123086082	123086172	123078822	123078932	123087115	123087287
142	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123086082	123086172	123087115	123087287	123081789	123082485	123087375	123087434
143	"ENSG00000184445.12_4"	"KNTC1"	chr12	+	123087115	123087287	123087375	123087434	123086082	123086172	123087573	123087790
144	"ENSG00000186350.11_4"	"RXRA"	chr9	+	137320953	137321086	137323750	137323842	137313521	137313651	137325947	137326053
145	"ENSG00000196363.9_2"	"WDR5"	chr9	+	137020461	137020495	137020814	137020889	137019587	137019663	137021627	137021715
146	"ENSG00000196363.9_2"	"WDR5"	chr9	+	137020814	137020889	137021627	137021715	137020461	137020495	137023014	137025090
147	"ENSG00000197299.12_4"	"BLM"	chr15	+	91308525	91308644	91310139	91310253	91306195	91306387	91312362	91312461
148	"ENSG00000197299.12_4"	"BLM"	chr15	+	91308525	91308644	91310139	91310253	91306195	91306387	91326051	91326158
149	"ENSG00000197299.12_4"	"BLM"	chr15	+	91310139	91310253	91326051	91326158	91308525	91308644	91328150	91328311
150	"ENSG00000197299.12_4"	"BLM"	chr15	+	91312362	91312461	91326051	91326158	91310139	91310253	91328150	91328311
151	"ENSG00000160325.14_2"	"CACFD1"	chr9	+	136328604	136328677	136333042	136333150	136325088	136325309	136333684	136335970
152	"ENSG00000285245.1_2"	"AL162417.1"	chr9	-	135982471	135982687	135983374	135983793	135982031	135982135	135984059	135984253
153	"ENSG00000165695.9_3"	"AK8"	chr9	-	135742290	135742340	135750501	135750586	135739051	135739165	135753558	135754164
155	"ENSG00000107290.14_5"	"SETX"	chr9	-	135145001	135145089	135147096	135147195	135136742	135140372	135150642	135150807
156	"ENSG00000107290.14_5"	"SETX"	chr9	-	135147096	135147195	135150642	135150807	135145001	135145089	135152446	135152539
157	"ENSG00000107290.14_5"	"SETX"	chr9	-	135158650	135158800	135161809	135161881	135156853	135156961	135163622	135163738
158	"ENSG00000107290.14_5"	"SETX"	chr9	-	135161809	135161881	135163622	135163738	135158650	135158800	135163936	135164038
159	"ENSG00000107290.14_5"	"SETX"	chr9	-	135163622	135163738	135163936	135164038	135161809	135161881	135171258	135171415
160	"ENSG00000107290.14_5"	"SETX"	chr9	-	135163936	135164038	135171258	135171415	135163622	135163738	135172273	135172441
161	"ENSG00000107290.14_5"	"SETX"	chr9	-	135176016	135176190	135187143	135187243	135173466	135173699	135201710	135205886
162	"ENSG00000107290.14_5"	"SETX"	chr9	-	135187143	135187243	135201710	135205886	135176016	135176190	135206438	135206526
163	"ENSG00000107290.14_5"	"SETX"	chr9	-	135209994	135210114	135211682	135211902	135206663	135206835	135218076	135218186
164	"ENSG00000006757.12_4"	"PNPLA4"	chrX	-	7870029	7870182	7880068	7880134	7866287	7868858	7889753	7889889
165	"ENSG00000006757.12_4"	"PNPLA4"	chrX	-	7890044	7890139	7893980	7894173	7889753	7889889	7895326	7895454
166	"ENSG00000006757.12_4"	"PNPLA4"	chrX	-	7890044	7890139	7893980	7894173	7889753	7889889	7895711	7895780
167	"ENSG00000006757.12_4"	"PNPLA4"	chrX	-	7890044	7890139	7893980	7894173	7889753	7889889	7895726	7895780
169	"ENSG00000148357.12"	"HMCN2"	chr9	+	133302883	133303006	133303744	133303876	133302699	133302762	133304943	133305072
170	"ENSG00000136878.13_4"	"USP20"	chr9	+	132612078	132612203	132614818	132614915	132597695	132597778	132618585	132618639
171	"ENSG00000136878.13_4"	"USP20"	chr9	+	132612091	132612203	132614818	132614915	132597724	132597778	132618585	132618639
172	"ENSG00000136878.13_4"	"USP20"	chr9	+	132625464	132625578	132627581	132627660	132623821	132623891	132630283	132630728
173	"ENSG00000136878.13_4"	"USP20"	chr9	+	132631140	132631281	132631588	132631704	132630283	132630728	132631950	132632123
174	"ENSG00000136816.16_3"	"TOR1B"	chr9	+	132566351	132566617	132569466	132569642	132565462	132565690	132571183	132571311
175	"ENSG00000136816.16_3"	"TOR1B"	chr9	+	132569466	132569642	132571183	132571311	132566636	132566758	132572505	132572595
177	"ENSG00000198917.13_6"	"SPOUT1"	chr9	-	131588818	131588908	131589310	131589470	131588260	131588712	131591013	131591156
178	"ENSG00000170734.11_3"	"POLH"	chr6	+	43555008	43555226	43565432	43565602	43550743	43550878	43568724	43568828
179	"ENSG00000170734.11_3"	"POLH"	chr6	+	43572990	43573056	43578290	43578460	43572351	43572475	43581396	43583397
180	"ENSG00000119333.11_2"	"WDR34"	chr9	-	131397370	131397538	131397936	131398046	131396967	131397200	131398559	131398717
181	"ENSG00000228395.2_7"	"AL356481.1"	chr9	-	131299105	131299234	131305657	131305963	131290935	131291279	131314646	131314689
182	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130884640	130884758	130885212	130885413	130882971	130883552	130885980	130886130
183	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130884640	130885413	130885980	130886130	130883001	130883552	130886770	130886829
184	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130884640	130885413	130886770	130886829	130883030	130883552	130887522	130887532
185	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130885212	130885413	130885980	130886126	130884640	130884758	130886770	130886829
186	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130885212	130885413	130885980	130886130	130884640	130884758	130886770	130886829
187	"ENSG00000136840.19_4"	"ST6GALNAC4"	chr9	-	130674546	130674959	130676934	130677120	130672229	130672337	130678686	130678773
188	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130162185	130162285	130165938	130166082	130159416	130159565	130166237	130166346
