ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr5:140071100-140071191|+|140071037|140071341	ENSG00000112855.17_6	HARS2	chr5	+	140071037	140071341	140071037	140071100	140071191	140071341	chr5:140071100-140071191|+|140071037|140071341	134,132,147	8,14,8	212,262,219	6,5,6	191	100	0.000442635876262	0.00748595720695	0.898,0.832,0.906	0.949,0.965,0.95	-0.076
chr8:146277883-146277971|+|146277852|146278283	ENSG00000182307.14_4	C8orf33	chr8	+	146277852	146278283	146277852	146277883	146277971	146278283	chr8:146277883-146277971|+|146277852|146278283	640,404,572	378,321,412	310,294,361	76,91,163	188	100	2.28256984314e-07	1.42374326775e-05	0.474,0.401,0.425	0.685,0.632,0.541	-0.186
chr11:66366724-66366929|+|66366586|66367107	ENSG00000173992.9_4	CCS	chr11	+	66366586	66367107	66366586	66366724	66366929	66367107	chr11:66366724-66366929|+|66366586|66367107	247,287,242	310,326,342	266,310,209	198,241,225	200	100	0.00060247502827	0.0096342441879	0.285,0.306,0.261	0.402,0.391,0.317	-0.086
chr8:145065972-145066412|+|145065859|145066541	ENSG00000178719.17_4	GRINA	chr8	+	145065859	145066541	145065859	145065972	145066412	145066541	chr8:145065972-145066412|+|145065859|145066541	327,288,342	100,150,172	262,261,253	1,0,1	200	100	0	0.0	0.62,0.49,0.499	0.992,1.0,0.992	-0.458
chr6:34204740-34204980|+|34204649|34205094	ENSG00000137309.19_2	HMGA1	chr6	+	34204649	34205094	34204649	34204740	34204980	34205094	chr6:34204740-34204980|+|34204649|34205094	356,277,842	3241,3826,3999	267,425,429	698,882,1127	200	100	0	0.0	0.052,0.035,0.095	0.161,0.194,0.16	-0.111
chr7:76958708-76959498|-|76958649|76959684	ENSG00000186088.16_4	GSAP	chr7	-	76958649	76959684	76958649	76958708	76959498	76959684	chr7:76958708-76959498|-|76958649|76959684	26,34,41	2,2,6	17,31,6	0,0,0	200	100	1.87169408579e-05	0.000569728817627	0.867,0.895,0.774	1.0,1.0,1.0	-0.155
chr7:53879264-53879352|-|53879200|53879635	ENSG00000205628.4_6	LINC01446	chr7	-	53879200	53879635	53879200	53879264	53879352	53879635	chr7:53879264-53879352|-|53879200|53879635	25,9,26	2,3,6	74,41,53	0,3,1	188	100	0.000162262390694	0.00331745457774	0.869,0.615,0.697	1.0,0.879,0.966	-0.221
chr12:57917875-57918062|+|57917811|57918199	ENSG00000166987.15_5	MBD6	chr12	+	57917811	57918199	57917811	57917875	57918062	57918199	chr12:57917875-57918062|+|57917811|57918199	31,21,72	201,295,303	63,82,43	167,217,141	200	100	2.27219515425e-08	1.891833798e-06	0.072,0.034,0.106	0.159,0.159,0.132	-0.079
chr12:98987518-98987752|+|98987402|98987913	ENSG00000075415.12_6	SLC25A3	chr12	+	98987402	98987913	98987402	98987518	98987752	98987913	chr12:98987518-98987752|+|98987402|98987913	1351,320,806	5309,5691,6333	790,522,718	2058,2280,2956	200	100	0	0.0	0.113,0.027,0.06	0.161,0.103,0.108	-0.057
chr7:21934423-21934501|+|21934240|21934617	ENSG00000105877.18_4	DNAH11	chr7	+	21934240	21934617	21934240	21934423	21934501	21934617	chr7:21934423-21934501|+|21934240|21934617	53,28,82	8,9,10	83,64,24	1,2,1	178	100	1.60993867637e-06	7.35592009719e-05	0.788,0.636,0.822	0.979,0.947,0.931	-0.204
chr3:49061837-49061927|-|49061757|49062235	ENSG00000178035.12_3	IMPDH2	chr3	-	49061757	49062235	49061757	49061837	49061927	49062235	chr3:49061837-49061927|-|49061757|49062235	188,169,211	2172,2718,2370	221,263,183	1142,910,1353	190	100	0	0.0	0.044,0.032,0.045	0.092,0.132,0.066	-0.056
chr19:50905381-50905461|+|50905255|50905630	ENSG00000062822.14_5	POLD1	chr19	+	50905255	50905630	50905255	50905381	50905461	50905630	chr19:50905381-50905461|+|50905255|50905630	104,57,105	593,532,787	71,45,67	185,251,305	180	100	2.94862417294e-05	0.000825816728983	0.089,0.056,0.069	0.176,0.091,0.109	-0.054
chrX:153744136-153744233|-|153744083|153744566	ENSG00000071889.16_4	FAM3A	chrX	-	153744083	153744566	153744083	153744136	153744233	153744566	chrX:153744136-153744233|-|153744083|153744566	480,539,495	246,430,308	556,696,736	175,202,250	197	100	1.64453872742e-09	1.78527049285e-07	0.498,0.389,0.449	0.617,0.636,0.599	-0.172
chr17:79872406-79872479|-|79872169|79872578	ENSG00000187531.14_5	SIRT7	chr17	-	79872169	79872578	79872169	79872406	79872479	79872578	chr17:79872406-79872479|-|79872169|79872578	158,93,139	416,323,400	152,128,99	179,231,224	173	100	8.35218725966e-05	0.00192586994576	0.18,0.143,0.167	0.329,0.243,0.203	-0.095
chr9:34648891-34648994|+|34648758|34649078	ENSG00000213930.11_5	GALT	chr9	+	34648758	34649078	34648758	34648891	34648994	34649078	chr9:34648891-34648994|+|34648758|34649078	80,42,58	64,94,65	102,101,74	43,68,46	200	100	0.000418844958609	0.00716259912722	0.385,0.183,0.309	0.543,0.426,0.446	-0.179
chr6:35437062-35437157|+|35436723|35437306	ENSG00000198755.11_3	RPL10A	chr6	+	35436723	35437306	35436723	35437062	35437157	35437306	chr6:35437062-35437157|+|35436723|35437306	1512,1557,1471	252,224,250	854,814,909	78,83,73	195	100	4.22752003626e-07	2.36439156314e-05	0.755,0.781,0.751	0.849,0.834,0.865	-0.087
chr12:56869466-56869728|-|56869407|56869761	ENSG00000135423.13_3	GLS2	chr12	-	56869407	56869761	56869407	56869466	56869728	56869761	chr12:56869466-56869728|-|56869407|56869761	23,30,20	35,107,37	22,18,10	5,12,9	200	100	0.000134685433216	0.00285351676902	0.247,0.123,0.213	0.688,0.429,0.357	-0.297
chr6:31947330-31948227|+|31947190|31948325	ENSG00000204344.14_3	STK19	chr6	+	31947190	31948325	31947190	31947330	31948227	31948325	chr6:31947330-31948227|+|31947190|31948325	99,108,95	131,309,239	109,169,153	149,145,164	200	100	1.02728768404e-05	0.00034430978197	0.274,0.149,0.166	0.268,0.368,0.318	-0.122
