ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr19:45562525-45562622|+|45561156|45561140	ENSG00000104859.15_5	CLASRP	chr19	+	45561007	45561156	45561007	45561140	45562525	45562622	chr19:45562525-45562622|+|45561156|45561140	372,327,458	38,28,46	307,277,274	43,33,40	116	100	0.0397373166365	0.485144777126	0.894,0.91,0.896	0.86,0.879,0.855	0.035
chr19:45571677-45571738|+|45571316|45571312	ENSG00000104859.15_5	CLASRP	chr19	+	45571272	45571316	45571272	45571312	45571677	45571738	chr19:45571677-45571738|+|45571316|45571312	49,78,107	139,170,139	34,58,60	108,82,106	104	100	0.995203333215	1.0	0.253,0.306,0.425	0.232,0.405,0.352	-0.002
chr7:16705061-16705126|+|16685929|16685913	ENSG00000136261.15_3	BZW2	chr7	+	16685758	16685929	16685758	16685913	16705061	16705126	chr7:16705061-16705126|+|16685929|16685913	419,287,451	1134,941,1191	283,231,233	610,571,575	116	100	0.0565797274341	0.616665014972	0.242,0.208,0.246	0.286,0.259,0.259	-0.036
chr4:2826339-2826457|+|2825300|2825296	ENSG00000087266.17_7	SH3BP2	chr4	+	2825121	2825300	2825121	2825296	2826339	2826457	chr4:2826339-2826457|+|2825300|2825296	7,1,10	16,4,10	0,11,3	8,5,5	104	100	0.830322913724	1.0	0.296,0.194,0.49	0.0,0.679,0.366	-0.022
chr22:38974124-38982204|-|38987365|38987439	ENSG00000184949.16_5	FAM227A	chr22	-	38987365	38987545	38987439	38987545	38974124	38982204	chr22:38974124-38982204|-|38987365|38987439	12,6,10	2,2,6	9,10,13	2,8,2	174	100	0.958582651276	1.0	0.775,0.633,0.489	0.721,0.418,0.789	-0.01
chr10:13330359-13330541|-|13333824|13333830	ENSG00000107537.14_5	PHYH	chr10	-	13333824	13333912	13333830	13333912	13330359	13330541	chr10:13330359-13330541|-|13333824|13333830	8,18,10	180,201,241	15,20,9	257,267,267	106	100	0.928361370333	1.0	0.04,0.078,0.038	0.052,0.066,0.031	0.002
chr9:136338226-136338372|-|136338536|136339101	ENSG00000160326.14_4	SLC2A6	chr9	-	136338536	136339210	136339101	136339210	136338226	136338372	chr9:136338226-136338372|-|136338536|136339101	111,220,207	69,54,64	102,106,120	31,38,61	200	100	0.747118356468	1.0	0.446,0.671,0.618	0.622,0.582,0.496	0.012
chrX:7893980-7894173|-|7895711|7895726	ENSG00000006757.12_4	PNPLA4	chrX	-	7895711	7895780	7895726	7895780	7893980	7894173	chrX:7893980-7894173|-|7895711|7895726	46,46,24	14,13,9	4,20,12	5,1,14	115	100	0.47433651194	1.0	0.741,0.755,0.699	0.41,0.946,0.427	0.137
chr9:133996497-133996990|+|133993234|133993222	ENSG00000126878.13_3	AIF1L	chr9	+	133993142	133993234	133993142	133993222	133996497	133996990	chr9:133996497-133996990|+|133993234|133993222	73,81,99	2,2,2	8,13,9	0,0,2	112	100	0.704982444801	1.0	0.97,0.973,0.978	1.0,1.0,0.801	0.04
chr9:132396332-132396585|+|132395144|132395080	ENSG00000148335.14_2	NTMT1	chr9	+	132394928	132395144	132394928	132395080	132396332	132396585	chr9:132396332-132396585|+|132395144|132395080	1513,1360,1435	67,104,86	1317,1121,1404	84,61,86	164	100	0.958623443642	1.0	0.932,0.889,0.911	0.905,0.918,0.909	0.0
