ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr11:43344979-43345186|+|43363977|43363982	ENSG00000166181.13_5	API5	chr11	+	43363977	43366079	43363982	43366079	43344979	43345186	chr11:43344979-43345186|+|43363977|43363982	13,7,16	2,6,0	13,15,14	0,0,0	105	100	0.000237344059058	0.00811865543351	0.861,0.526,1.0	1.0,1.0,1.0	-0.204
chr8:145065859-145065972|+|145066045|145066412	ENSG00000178719.17_4	GRINA	chr8	+	145066045	145066541	145066412	145066541	145065859	145065972	chr8:145065859-145065972|+|145066045|145066412	2864,3358,3273	100,150,172	2351,2781,2615	1,0,1	200	100	0	0.0	0.935,0.918,0.905	0.999,1.0,0.999	-0.08
chr3:149686144-149686337|-|149684373|149684051	ENSG00000070087.14_4	PFN2	chr3	-	149682690	149684373	149682690	149684051	149686144	149686337	chr3:149686144-149686337|-|149684373|149684051	2214,1751,2565	1803,1367,1833	3819,3703,3545	651,485,651	200	100	0	0.0	0.38,0.39,0.412	0.746,0.792,0.731	-0.362
chr6:137338104-137338240|-|137330629|137330563	ENSG00000016402.13_3	IL20RA	chr6	-	137330453	137330629	137330453	137330563	137338104	137338240	chr6:137338104-137338240|-|137330629|137330563	89,273,109	1,28,4	19,21,14	0,0,0	166	100	4.02180043186e-05	0.0019056646617	0.982,0.855,0.943	1.0,1.0,1.0	-0.073
chr6:46988466-46988525|-|46988233|46984504	ENSG00000153292.16_5	ADGRF1	chr6	-	46984352	46988233	46984352	46984504	46988466	46988525	chr6:46988466-46988525|-|46988233|46984504	162,239,170	391,553,569	152,360,149	247,549,265	200	100	6.99579517693e-06	0.000447056044415	0.172,0.178,0.13	0.235,0.247,0.219	-0.074
chr2:74756706-74756887|-|74756626|74756409	ENSG00000115307.17_3	AUP1	chr2	-	74756258	74756626	74756258	74756409	74756706	74756887	chr2:74756706-74756887|-|74756626|74756409	1801,1362,1819	79,76,120	1021,1102,1147	27,16,26	200	100	1.41311740087e-10	3.77215889482e-08	0.919,0.9,0.883	0.95,0.972,0.957	-0.059
chr9:140507347-140507458|+|140507864|140507911	ENSG00000197070.14_4	ARRDC1	chr9	+	140507864	140507962	140507911	140507962	140507347	140507458	chr9:140507347-140507458|+|140507864|140507911	139,113,110	516,540,538	69,103,73	145,231,185	147	100	2.89410660326e-07	3.02385148145e-05	0.155,0.125,0.122	0.245,0.233,0.212	-0.096
chr9:140507347-140507458|+|140507874|140507911	ENSG00000197070.14_4	ARRDC1	chr9	+	140507874	140507962	140507911	140507962	140507347	140507458	chr9:140507347-140507458|+|140507874|140507911	84,68,61	516,540,538	32,58,45	145,231,185	137	100	9.02369055175e-05	0.00371303590837	0.106,0.084,0.076	0.139,0.155,0.151	-0.06
chr5:139936731-139937031|-|139931769|139930754	ENSG00000213523.10_4	SRA1	chr5	-	139930645	139931769	139930645	139930754	139936731	139937031	chr5:139936731-139937031|-|139931769|139930754	596,791,814	71,73,106	823,913,957	64,79,48	200	100	0.000257792653602	0.0086612444683	0.808,0.844,0.793	0.865,0.852,0.909	-0.06
chr5:125707004-125707259|+|125801068|125801117	ENSG00000155324.9_6	GRAMD2B	chr5	+	125801068	125801237	125801117	125801237	125707004	125707259	chr5:125707004-125707259|+|125801068|125801117	14,17,22	20,50,50	25,31,25	0,0,1	149	100	0	0.0	0.32,0.186,0.228	1.0,1.0,0.944	-0.737
chr5:65459619-65459750|+|65460435|65460610	ENSG00000153914.16_3	SREK1	chr5	+	65460435	65460725	65460610	65460725	65459619	65459750	chr5:65459619-65459750|+|65460435|65460610	20,28,27	229,154,211	109,113,91	338,324,238	200	100	3.36358718656e-11	1.04004224032e-08	0.042,0.083,0.06	0.139,0.148,0.16	-0.087
chr12:53836478-53836517|+|53837270|53837324	ENSG00000205352.11_7	PRR13	chr12	+	53837270	53837557	53837324	53837557	53836478	53836517	chr12:53836478-53836517|+|53837270|53837324	517,411,483	94,133,79	433,396,449	49,54,50	154	100	0.000233436720097	0.0080196890462	0.781,0.667,0.799	0.852,0.826,0.854	-0.095
