ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr2:72410022-72410034|-|72406590|72411203	ENSG00000144036.15_4	EXOC6B	chr2	-	72410022	72410034	72406437	72406590	72411203	72411316	chr2:72410022-72410034|-|72406590|72411203	14,36,34	91,90,137	3,6,0	99,132,109	112	100	1.46549439251e-14	4.46764560405e-12	0.121,0.263,0.181	0.026,0.039,0.0	0.167
chr10:5966713-5966764|+|5966471|5967329	ENSG00000134452.19_4	FBH1	chr10	+	5966713	5966764	5966273	5966471	5967329	5967455	chr10:5966713-5966764|+|5966471|5967329	19,59,46	156,174,163	59,70,74	530,563,555	151	100	3.51296673284e-05	0.00158483995655	0.075,0.183,0.157	0.069,0.076,0.081	0.063
chrX:133906172-133906313|-|133905384|133915850	ENSG00000156504.16_2	FAM122B	chrX	-	133906172	133906313	133905125	133905384	133915850	133915947	chrX:133906172-133906313|-|133905384|133915850	613,357,608	9,24,9	383,273,364	85,65,55	200	100	0	0.0	0.971,0.881,0.971	0.693,0.677,0.768	0.228
chr6:58287429-58287502|-|58285389|58287598	ENSG00000283352.1_6	AL021368.4	chr6	-	58287429	58287502	58285305	58285389	58287598	58287660	chr6:58287429-58287502|-|58285389|58287598	135,103,159	1,0,3	136,161,166	11,3,7	173	100	0.000137537419744	0.00479434684862	0.987,1.0,0.968	0.877,0.969,0.932	0.059
chr8:144909198-144909337|-|144906566|144911153	ENSG00000179950.13_3	PUF60	chr8	-	144909198	144909337	144906482	144906566	144911153	144911198	chr8:144909198-144909337|-|144906566|144911153	6,8,8	8,3,7	0,0,2	7,7,16	200	100	4.36941350879e-08	4.95941370075e-06	0.273,0.571,0.364	0.0,0.0,0.059	0.383
chr8:144909198-144909337|-|144906569|144909554	ENSG00000179950.13_3	PUF60	chr8	-	144909198	144909337	144906482	144906569	144909554	144909706	chr8:144909198-144909337|-|144906569|144909554	47,80,41	65,43,57	2,18,6	47,77,70	200	100	1.76469949764e-12	4.19865683036e-10	0.266,0.482,0.265	0.021,0.105,0.041	0.282
chr8:144909198-144909337|-|144906569|144911153	ENSG00000179950.13_3	PUF60	chr8	-	144909198	144909337	144906482	144906569	144911153	144911198	chr8:144909198-144909337|-|144906569|144911153	49,83,44	18,17,37	2,14,7	19,11,14	200	100	0.000201232155622	0.00649082317667	0.576,0.709,0.373	0.05,0.389,0.2	0.34
chr12:123014568-123014739|+|123011898|123019210	ENSG00000184445.12_4	KNTC1	chr12	+	123014568	123014739	123011794	123011898	123019210	123019331	chr12:123014568-123014739|+|123011898|123019210	391,248,456	9,2,14	554,420,263	17,32,18	200	100	0.000141800454168	0.00491224130651	0.956,0.984,0.942	0.942,0.868,0.88	0.064
chr19:58991009-58991094|+|58989548|58991296	ENSG00000083838.15_3	ZNF446	chr19	+	58991009	58991094	58989453	58989548	58991296	58991386	chr19:58991009-58991094|+|58989548|58991296	87,156,136	2,2,1	158,235,154	8,6,17	185	100	5.21036418033e-05	0.00219678380347	0.959,0.977,0.987	0.914,0.955,0.83	0.075
chr9:130885980-130886126|-|130883552|130886770	ENSG00000148334.15_4	PTGES2	chr9	-	130885980	130886126	130882972	130883552	130886770	130886829	chr9:130885980-130886126|-|130883552|130886770	40,42,29	2,0,0	15,12,23	0,3,8	200	100	4.79478626864e-05	0.00205089125076	0.909,1.0,1.0	1.0,0.667,0.59	0.217
chr9:130159654-130159817|+|130159565|130162185	ENSG00000136856.17_4	SLC2A8	chr9	+	130159654	130159817	130159420	130159565	130162185	130162285	chr9:130159654-130159817|+|130159565|130162185	98,89,131	87,108,90	7,19,34	170,152,144	200	100	0	0.0	0.36,0.292,0.421	0.02,0.059,0.106	0.296
chr9:130160183-130160390|+|130159565|130162185	ENSG00000136856.17_4	SLC2A8	chr9	+	130160183	130160390	130159420	130159565	130162185	130162285	chr9:130160183-130160390|+|130159565|130162185	63,59,54	87,108,90	25,45,60	170,152,144	200	100	1.53762347288e-06	0.000113384480592	0.266,0.215,0.231	0.068,0.129,0.172	0.114
