ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chrX:133915850-133915947|-|133906313|133905384	ENSG00000156504.16_2	FAM122B	chrX	-	133903596	133906313	133903596	133905384	133915850	133915947	chrX:133915850-133915947|-|133906313|133905384	875,416,767	9,24,9	612,392,542	85,65,55	200	100	0	0.0	0.98,0.897,0.977	0.783,0.751,0.831	0.163
chr14:23769966-23770073|-|23768750|23768747	ENSG00000235194.8_5	PPP1R3E	chr14	-	23768609	23768750	23768609	23768747	23769966	23770073	chr14:23769966-23770073|-|23768750|23768747	6,19,7	1,0,0	17,23,17	6,2,3	103	100	0.00015397397148	0.00576566221882	0.853,1.0,1.0	0.733,0.918,0.846	0.119
chr19:58989453-58989548|+|58991009|58991296	ENSG00000083838.15_3	ZNF446	chr19	+	58991009	58991386	58991296	58991386	58989453	58989548	chr19:58989453-58989548|+|58991009|58991296	83,129,116	2,2,1	139,189,129	8,6,17	200	100	4.79224564024e-05	0.00218980877073	0.954,0.97,0.983	0.897,0.94,0.791	0.093
chr9:123555426-123555535|-|123550556|123550464	ENSG00000119402.17_3	FBXW2	chr9	-	123550046	123550556	123550046	123550464	123555426	123555535	chr9:123555426-123555535|-|123550556|123550464	649,383,545	28,22,40	422,438,342	37,41,50	192	100	0.000135860339838	0.00522500697245	0.924,0.901,0.876	0.856,0.848,0.781	0.072
chr2:120925041-120925083|+|120925452|120925455	ENSG00000115109.14_3	EPB41L5	chr2	+	120925452	120925583	120925455	120925583	120925041	120925083	chr2:120925041-120925083|+|120925452|120925455	11,21,15	0,2,0	45,38,25	12,3,4	103	100	0.000203600577103	0.00720605798945	1.0,0.911,1.0	0.785,0.925,0.859	0.114
chr20:34252681-34252822|-|34246936|34246904	ENSG00000244462.8_4	RBM12	chr20	-	34246851	34246936	34246851	34246904	34252681	34252822	chr20:34252681-34252822|-|34246936|34246904	526,314,482	54,48,55	355,346,298	63,70,70	132	100	0.000148837287976	0.00560483131259	0.881,0.832,0.869	0.81,0.789,0.763	0.073
chr6:43395593-43395705|+|43399879|43400972	ENSG00000124574.15_5	ABCC10	chr6	+	43399879	43401098	43400972	43401098	43395593	43395705	chr6:43395593-43395705|+|43399879|43400972	187,173,245	0,0,0	197,193,151	7,5,10	200	100	1.25958149244e-07	1.48254499216e-05	1.0,1.0,1.0	0.934,0.951,0.883	0.077
chr1:171519224-171519379|+|171530156|171530159	ENSG00000117523.16_5	PRRC2C	chr1	+	171530156	171530242	171530159	171530242	171519224	171519379	chr1:171519224-171519379|+|171530156|171530159	39,27,45	0,0,0	34,47,28	19,0,0	103	100	0.000105019812378	0.00423591069186	1.0,1.0,1.0	0.635,1.0,1.0	0.122
chr5:157218710-157219003|-|157216575|157216521	ENSG00000113282.13_4	CLINT1	chr5	-	157216370	157216575	157216370	157216521	157218710	157219003	chr5:157218710-157219003|-|157216575|157216521	1522,976,1396	873,665,921	998,925,871	990,966,867	154	100	2.42616360335e-07	2.59273694737e-05	0.531,0.488,0.496	0.396,0.383,0.395	0.114
chr9:139887091-139887152|+|139887376|139887504	ENSG00000148362.11_6	PAXX	chr9	+	139887376	139887695	139887504	139887695	139887091	139887152	chr9:139887091-139887152|+|139887376|139887504	714,554,775	4,5,3	345,355,519	14,15,29	200	100	3.97459842816e-14	2.15837753011e-11	0.989,0.982,0.992	0.925,0.922,0.899	0.072
chr20:25204736-25204793|+|25205797|25205840	ENSG00000197586.12_7	ENTPD6	chr20	+	25205797	25205953	25205840	25205953	25204736	25204793	chr20:25204736-25204793|+|25205797|25205840	680,610,626	696,942,803	375,449,443	692,905,735	143	100	0.00028241555201	0.00934215879223	0.406,0.312,0.353	0.275,0.258,0.297	0.08
chr5:65449290-65449424|+|65451892|65454636	ENSG00000153914.16_3	SREK1	chr5	+	65451892	65454760	65454636	65454760	65449290	65449424	chr5:65449290-65449424|+|65451892|65454636	29,26,25	1,1,0	125,126,78	6,10,11	200	100	0.000254896172729	0.0085844444608	0.935,0.929,1.0	0.912,0.863,0.78	0.103
chr12:58000225-58000301|+|58000647|58000666	ENSG00000178498.16_5	DTX3	chr12	+	58000647	58001396	58000666	58001396	58000225	58000301	chr12:58000225-58000301|+|58000647|58000666	154,195,155	9,9,3	290,321,239	19,50,30	119	100	7.60999036631e-06	0.00048083788859	0.935,0.948,0.977	0.928,0.844,0.87	0.073
chr16:19079310-19080200|+|19083105|19083249	ENSG00000167186.11_5	COQ7	chr16	+	19083105	19083428	19083249	19083428	19079310	19080200	chr16:19079310-19080200|+|19083105|19083249	7,3,5	3,10,13	1,1,0	8,15,5	200	100	4.83612248269e-05	0.00220319285473	0.538,0.13,0.161	0.059,0.032,0.0	0.246
chr3:194337498-194337620|-|194336426|194336399	ENSG00000145014.17_5	TMEM44	chr3	-	194336297	194336426	194336297	194336399	194337498	194337620	chr3:194337498-194337620|-|194336426|194336399	36,62,27	1,0,0	94,108,102	18,16,10	127	100	9.49075329437e-09	1.52199686132e-06	0.966,1.0,1.0	0.804,0.842,0.889	0.144
chr3:194343952-194344039|-|194336426|194336399	ENSG00000145014.17_5	TMEM44	chr3	-	194336297	194336426	194336297	194336399	194343952	194344039	chr3:194343952-194344039|-|194336426|194336399	34,62,27	0,6,0	98,108,95	17,21,11	127	100	0.000219565940978	0.00764066527668	1.0,0.891,1.0	0.819,0.802,0.872	0.133
chr2:74710448-74710537|+|74717151|74717370	ENSG00000115282.19_6	TTC31	chr2	+	74717151	74717600	74717370	74717600	74710448	74710537	chr2:74710448-74710537|+|74717151|74717370	146,190,194	6,7,7	143,176,112	29,27,12	200	100	2.22560634366e-08	3.28209493073e-06	0.924,0.931,0.933	0.711,0.765,0.824	0.163
chr1:247493267-247493383|-|247492917|247492870	ENSG00000162714.12_3	ZNF496	chr1	-	247492490	247492917	247492490	247492870	247493267	247493383	chr1:247493267-247493383|-|247492917|247492870	651,515,579	68,50,38	298,400,329	68,57,45	147	100	2.86558923102e-05	0.00144224399289	0.867,0.875,0.912	0.749,0.827,0.833	0.082
chr14:104181760-104181821|-|104177998|104177904	ENSG00000126215.14_4	XRCC3	chr14	-	104177802	104177998	104177802	104177904	104181760	104181821	chr14:104181760-104181821|-|104177998|104177904	129,72,79	38,25,28	95,56,61	58,38,44	194	100	7.92744338313e-05	0.00333572159569	0.636,0.598,0.593	0.458,0.432,0.417	0.173
chr1:205498451-205498557|+|205498648|205499386	ENSG00000117266.15_5	CDK18	chr1	+	205498648	205499477	205499386	205499477	205498451	205498557	chr1:205498451-205498557|+|205498648|205499386	169,379,271	0,0,0	67,59,52	9,0,1	200	100	0.000132947572994	0.00512857422663	1.0,1.0,1.0	0.788,1.0,0.963	0.083
chr1:204234069-204234170|-|204230636|204230576	ENSG00000143850.15_6	PLEKHA6	chr1	-	204230433	204230636	204230433	204230576	204234069	204234170	chr1:204234069-204234170|-|204230636|204230576	316,247,431	18,20,14	168,159,133	44,44,39	160	100	0	0.0	0.916,0.885,0.951	0.705,0.693,0.681	0.224
chr1:161147212-161147269|-|161146896|161146369	ENSG00000158850.15_3	B4GALT3	chr1	-	161146223	161146896	161146223	161146369	161147212	161147269	chr1:161147212-161147269|-|161146896|161146369	138,151,170	610,554,618	41,37,51	333,334,323	200	100	1.6400545233e-07	1.86005272085e-05	0.102,0.12,0.121	0.058,0.052,0.073	0.053
chr4:156721028-156721226|+|156723364|156723493	ENSG00000061918.13_4	GUCY1B1	chr4	+	156723364	156723731	156723493	156723731	156721028	156721226	chr4:156721028-156721226|+|156723364|156723493	7,9,20	35,82,60	2,5,2	33,69,55	200	100	0.000119809749562	0.00470789062184	0.091,0.052,0.143	0.029,0.035,0.018	0.068
chr12:52638161-52638395|+|52639134|52639195	ENSG00000135480.16_4	KRT7	chr12	+	52639134	52639416	52639195	52639416	52638161	52638395	chr12:52638161-52638395|+|52639134|52639195	647,424,559	228,138,214	163,34,225	129,66,206	161	100	8.44073122508e-09	1.37984144855e-06	0.638,0.656,0.619	0.44,0.242,0.404	0.276
chr1:219352488-219352588|+|219383856|219383873	ENSG00000143353.12_3	LYPLAL1	chr1	+	219383856	219383989	219383873	219383989	219352488	219352588	chr1:219352488-219352588|+|219383856|219383873	11,30,22	33,47,33	6,2,2	35,23,26	117	100	3.20235118445e-06	0.000231141068464	0.222,0.353,0.363	0.128,0.069,0.062	0.226
chr3:195599146-195599341|-|195597275|195597076	ENSG00000061938.18_6	TNK2	chr3	-	195596984	195597275	195596984	195597076	195599146	195599341	chr3:195599146-195599341|-|195597275|195597076	102,55,76	350,325,368	39,44,39	409,382,383	200	100	9.82659139614e-08	1.18414169787e-05	0.127,0.078,0.094	0.046,0.054,0.048	0.05
chr3:133372188-133372368|-|133371473|133371458	ENSG00000163781.13_5	TOPBP1	chr3	-	133371306	133371473	133371306	133371458	133372188	133372368	chr3:133372188-133372368|-|133371473|133371458	368,173,317	52,30,68	255,204,192	86,75,41	115	100	0.000302115286655	0.00984961224045	0.86,0.834,0.802	0.721,0.703,0.803	0.09
