ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr14:39748540-39748562|+|39746269|39746159	ENSG00000150527.17_6	MIA2	chr14	+	39746137	39746269	39746137	39746159	39748540	39748562	chr14:39748540-39748562|+|39746269|39746159	268,427,294	31,81,44	354,453,284	21,43,24	200	100	5.14588324491e-05	0.00342519086288	0.812,0.725,0.77	0.894,0.84,0.855	-0.094
chr3:126178495-126178580|-|126180112|126180377	ENSG00000070476.15_3	ZXDC	chr3	-	126180112	126181063	126180377	126181063	126178495	126178580	chr3:126178495-126178580|-|126180112|126180377	61,66,85	109,57,102	71,83,51	52,28,18	200	100	5.31814462291e-05	0.00352231632334	0.219,0.367,0.294	0.406,0.597,0.586	-0.236
chr8:144668898-144669019|-|144676044|144676062	ENSG00000104529.17_7	EEF1D	chr8	-	144676044	144676241	144676062	144676241	144668898	144669019	chr8:144668898-144669019|-|144676044|144676062	75,32,124	13,18,15	35,25,43	1,1,2	118	100	1.5813746707e-05	0.00131256785225	0.83,0.601,0.875	0.967,0.955,0.948	-0.188
chr8:144674816-144674830|-|144676044|144676062	ENSG00000104529.17_7	EEF1D	chr8	-	144676044	144676241	144676062	144676241	144674816	144674830	chr8:144674816-144674830|-|144676044|144676062	64,27,107	2,2,12	32,25,32	0,0,1	118	100	0.000155949911238	0.00806537534221	0.964,0.92,0.883	1.0,1.0,0.964	-0.066
chr18:47329056-47329223|-|47340051|47340186	ENSG00000167315.18_4	ACAA2	chr18	-	47340051	47340323	47340186	47340323	47329056	47329223	chr18:47329056-47329223|-|47340051|47340186	69,80,72	9,12,16	102,129,89	3,5,8	200	100	7.63792080435e-05	0.0047039909558	0.793,0.769,0.692	0.944,0.928,0.848	-0.155
chr7:102210281-102210371|-|102212889|102212918	ENSG00000285437.1_1	POLR2J3	chr7	-	102212889	102213030	102212918	102213030	102210281	102210371	chr7:102210281-102210371|-|102212889|102212918	103,93,121	248,299,287	211,198,216	314,388,368	129	100	0.000180216620476	0.00898466420008	0.244,0.194,0.246	0.342,0.283,0.313	-0.085
chr7:53847849-53847923|-|53879200|53879352	ENSG00000205628.4_6	LINC01446	chr7	-	53879200	53879635	53879352	53879635	53847849	53847923	chr7:53847849-53847923|-|53879200|53879352	17,6,21	3,5,4	49,20,33	0,2,1	200	100	2.46827589366e-05	0.00190403302763	0.739,0.375,0.724	1.0,0.833,0.943	-0.313
chr3:183562018-183562114|-|183580484|183580540	ENSG00000175193.13_6	PARL	chr3	-	183580484	183580589	183580540	183580589	183562018	183562114	chr3:183562018-183562114|-|183580484|183580540	43,86,46	1027,825,848	110,86,96	556,624,698	156	100	6.52145004665e-12	3.46296580559e-09	0.026,0.063,0.034	0.113,0.081,0.081	-0.051
chr12:57458428-57458522|-|57464456|57464602	ENSG00000166881.10_6	NEMP1	chr12	-	57464456	57464676	57464602	57464676	57458428	57458522	chr12:57458428-57458522|-|57464456|57464602	197,77,167	23,16,16	216,151,109	5,11,4	200	100	4.5007372847e-05	0.00306540148517	0.811,0.706,0.839	0.956,0.873,0.932	-0.135
chr7:44156028-44156109|-|44157182|44157217	ENSG00000106628.10_4	POLD2	chr7	-	44157182	44157341	44157217	44157341	44156028	44156109	chr7:44156028-44156109|-|44157182|44157217	97,117,108	15,25,15	49,44,50	0,1,0	135	100	8.83079165348e-11	3.71682730359e-08	0.827,0.776,0.842	1.0,0.97,1.0	-0.175
