chrom	source	category	start	end	strand	gene_id	gene_name	gene_type	EM_Signature
chr1	HAVANA	gene	20808884	20812703	-	ENSG00000162545.6_3	CAMK2N1	protein_coding	Epi
chr1	HAVANA	gene	26503975	26516375	+	ENSG00000142675.18_3	CNKSR1	protein_coding	Epi
chr1	HAVANA	gene	27189640	27190947	+	ENSG00000175793.12_4	SFN	protein_coding	Epi
chr1	HAVANA	gene	46640745	46651634	+	ENSG00000117472.10_3	TSPAN1	protein_coding	Epi
chr1	HAVANA	gene	51752930	51810788	-	ENSG00000085831.15_6	TTC39A	protein_coding	Epi
chr1	HAVANA	gene	59041095	59043445	-	ENSG00000184292.6_2	TACSTD2	protein_coding	Epi
chr1	HAVANA	gene	111728591	111747157	-	ENSG00000162777.17_4	DENND2D	protein_coding	Epi
chr1	HAVANA	gene	150954725	150968110	+	ENSG00000143412.10_3	ANXA9	protein_coding	Epi
chr1	HAVANA	gene	153586731	153589462	-	ENSG00000189334.9_3	S100A14	protein_coding	Epi
chr1	HAVANA	gene	156030951	156040295	+	ENSG00000132698.15_4	RAB25	protein_coding	Epi
chr1	HAVANA	gene	160965001	160991133	-	ENSG00000158769.18_4	F11R	protein_coding	Epi
chr1	HAVANA	gene	169074935	169101960	+	ENSG00000143153.12_3	ATP1B1	protein_coding	Epi
chr1	HAVANA	gene	174128548	174964445	+	ENSG00000152061.23_4	RABGAP1L	protein_coding	Epi
chr1	HAVANA	gene	179262849	179327815	+	ENSG00000057252.13_3	SOAT1	protein_coding	Mes
chr1	HAVANA	gene	201349966	201369043	-	ENSG00000159166.14_6	LAD1	protein_coding	Epi
chr1	HAVANA	gene	201977073	201986311	+	ENSG00000163435.16_4	ELF3	protein_coding	Epi
chr1	HAVANA	gene	207191867	207206101	-	ENSG00000182795.13_3	C1orf116	protein_coding	Epi
chr1	HAVANA	gene	207925402	207968858	+	ENSG00000117335.19_4	CD46	protein_coding	Epi
chr1	HAVANA	gene	209958962	209979520	-	ENSG00000117595.12_6	IRF6	protein_coding	Epi
chr1	HAVANA	gene	233749750	233808258	+	ENSG00000135750.14_2	KCNK1	protein_coding	Epi
chr1	HAVANA	gene	243287730	243418650	-	ENSG00000143702.16_5	CEP170	protein_coding	Mes
chr2	HAVANA	gene	217730	266398	-	ENSG00000035115.21_5	SH3YL1	protein_coding	Epi
chr2	HAVANA	gene	20400558	20425194	-	ENSG00000115884.11_3	SDC1	protein_coding	Epi
chr2	HAVANA	gene	47572297	47614740	+	ENSG00000119888.10_2	EPCAM	protein_coding	Epi
chr2	HAVANA	gene	69871557	70054244	+	ENSG00000196975.16_3	ANXA4	protein_coding	Epi
chr2	HAVANA	gene	70674416	70781325	-	ENSG00000163235.16_5	TGFA	protein_coding	Epi
