ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000277067.4_6"	"CU634019.1"	chrGL000195.1	-	49910	50132	49960	50132	49083	49119
4	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45571272	45571316	45571272	45571312	45572323	45572382
7	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277167	17278378	17277167	17277388	17279228	17279592
8	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17278378	17277844	17277888	17279228	17279592
11	"ENSG00000107537.14_5"	"PHYH"	chr10	-	13333824	13333912	13333830	13333912	13325689	13325839
15	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1497388	1497569	1497392	1497569	1497006	1497084
16	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1499276	1500667	1500497	1500667	1498966	1499094
17	"ENSG00000179950.13_3"	"PUF60"	chr8	-	144900245	144900455	144900362	144900455	144900031	144900143
20	"ENSG00000112855.17_6"	"HARS2"	chr5	+	140071379	140071914	140071379	140071522	140073175	140073250
21	"ENSG00000112855.17_6"	"HARS2"	chr5	+	140071379	140071914	140071379	140071602	140073175	140073250
27	"ENSG00000006757.12_4"	"PNPLA4"	chrX	-	7895711	7895780	7895726	7895780	7890044	7890139
31	"ENSG00000126878.13_3"	"AIF1L"	chr9	+	133993142	133993234	133993142	133993222	133996497	133996990
32	"ENSG00000136819.15_4"	"C9orf78"	chr9	-	132596985	132597045	132596990	132597045	132595936	132595988
36	"ENSG00000148334.15_4"	"PTGES2"	chr9	-	130887522	130887720	130887654	130887720	130886770	130886829
38	"ENSG00000196152.10_4"	"ZNF79"	chr9	+	130186652	130187189	130186652	130187082	130190830	130190939
44	"ENSG00000148187.18_4"	"MRRF"	chr9	+	125027740	125028059	125027740	125027824	125033231	125033354
45	"ENSG00000148187.18_4"	"MRRF"	chr9	+	125027740	125028059	125027740	125027824	125042721	125042877
49	"ENSG00000119402.17_3"	"FBXW2"	chr9	-	123555164	123555535	123555426	123555535	123550046	123550464
51	"ENSG00000150527.17_6"	"MIA2"	chr14	+	39760222	39760315	39760222	39760300	39761883	39761910
65	"ENSG00000172530.20_7"	"BANP"	chr16	+	88008653	88008809	88008653	88008791	88012045	88012298
69	"ENSG00000119314.15_4"	"PTBP3"	chr9	-	115060111	115060196	115060120	115060196	115030328	115030475
