ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr5:177651448-177651565:177651616-177651730|-|177649935|177658405	ENSG00000175309.15_5	PHYKPL	chr5	-	177651448	177651565	177651616	177651730	177649852	177649935	177658405	177658524	chr5:177651448-177651565:177651616-177651730|-|177649935|177658405	6,8,8	59,168,89	12,18,11	55,92,52	200	200	0.000114100094472	0.00304125179344	0.092,0.045,0.082	0.179,0.164,0.175	-0.1
chr5:177651448-177651565:177656940-177657100|-|177649935|177658405	ENSG00000175309.15_5	PHYKPL	chr5	-	177651448	177651565	177656940	177657100	177649852	177649935	177658405	177658524	chr5:177651448-177651565:177656940-177657100|-|177649935|177658405	105,277,120	59,168,89	216,194,180	55,92,52	200	200	3.5949909613e-05	0.00119569346161	0.64,0.622,0.574	0.797,0.678,0.776	-0.138
chr5:177652355-177652430:177656940-177657100|-|177651730|177658405	ENSG00000175309.15_5	PHYKPL	chr5	-	177652355	177652430	177656940	177657100	177651642	177651730	177658405	177658524	chr5:177652355-177652430:177656940-177657100|-|177651730|177658405	108,275,120	67,150,72	225,197,182	56,77,68	200	175	0.000108751569232	0.00292839929365	0.585,0.616,0.593	0.779,0.691,0.701	-0.126
chr9:130162185-130162285:130165938-130166082|+|130159565|130166237	ENSG00000136856.17_4	SLC2A8	chr9	+	130162185	130162285	130165938	130166082	130159416	130159565	130166237	130166346	chr9:130162185-130162285:130165938-130166082|+|130159565|130166237	87,108,93	174,218,197	174,161,146	206,239,181	200	200	0.000242816912946	0.00555145611306	0.333,0.331,0.321	0.458,0.403,0.446	-0.107
chr1:225311228-225311316:225328432-225328723|+|225306996|225332098	ENSG00000185842.15_4	DNAH14	chr1	+	225311228	225311316	225328432	225328723	225306921	225306996	225332098	225332330	chr1:225311228-225311316:225328432-225328723|+|225306996|225332098	21,19,26	0,2,7	36,34,20	0,0,0	188	200	0.000284112471378	0.00628788715235	1.0,0.91,0.798	1.0,1.0,1.0	-0.097
chr9:32467759-32467930:32472972-32473063|-|32466439|32476980	ENSG00000107201.10_3	DDX58	chr9	-	32467759	32467930	32472972	32473063	32466287	32466439	32476980	32477129	chr9:32467759-32467930:32472972-32473063|-|32466439|32476980	167,131,180	164,190,216	127,184,117	91,127,101	191	200	0.00045488415027	0.0091060897465	0.516,0.419,0.466	0.594,0.603,0.548	-0.115
chr7:138524877-138525023:138529061-138529219|-|138522905|138536968	ENSG00000122778.9_2	KIAA1549	chr7	-	138524877	138525023	138529061	138529219	138522269	138522905	138536968	138537015	chr7:138524877-138525023:138529061-138529219|-|138522905|138536968	307,239,350	205,200,257	302,394,340	152,223,141	200	200	0.000242577777527	0.00554697390388	0.6,0.544,0.577	0.665,0.639,0.707	-0.097
chr5:150488015-150488111:150489313-150489407|-|150484864|150490187	ENSG00000197043.14_3	ANXA6	chr5	-	150488015	150488111	150489313	150489407	150484805	150484864	150490187	150490205	chr5:150488015-150488111:150489313-150489407|-|150484864|150490187	328,292,334	614,977,852	2531,3060,3071	2119,2665,2758	194	196	0	0.0	0.351,0.232,0.284	0.547,0.537,0.529	-0.249
chr1:162558482-162558623:162560112-162560301|+|162557458|162562521	ENSG00000117143.13_5	UAP1	chr1	+	162558482	162558623	162560112	162560301	162557264	162557458	162562521	162562572	chr1:162558482-162558623:162560112-162560301|+|162557458|162562521	2187,1557,1655	1351,1016,1021	1471,899,1569	516,323,668	200	200	1.732381405e-08	1.63389583941e-06	0.618,0.605,0.618	0.74,0.736,0.701	-0.112
chr1:162558482-162558623:162560112-162560301|+|162557458|162562524	ENSG00000117143.13_5	UAP1	chr1	+	162558482	162558623	162560112	162560301	162557264	162557458	162562524	162562572	chr1:162558482-162558623:162560112-162560301|+|162557458|162562524	2172,1555,1647	405,286,315	1465,897,1566	150,106,147	200	200	7.190016027e-09	7.42891383079e-07	0.843,0.845,0.839	0.907,0.894,0.914	-0.063
