ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr10:15012246-15012545|+|15008605|15014511	ENSG00000197889.10_3	MEIG1	chr10	+	15012246	15012545	15008438	15008605	15014511	15014680	chr10:15012246-15012545|+|15008605|15014511	0,0,2	10,47,20	3,14,2	25,12,29	200	100	3.09860466132e-05	0.0014324624217	0.0,0.0,0.048	0.057,0.368,0.033	-0.137
chr10:5944982-5945138|+|5932309|5947999	ENSG00000134452.19_4	FBH1	chr10	+	5944982	5945138	5932165	5932309	5947999	5948584	chr10:5944982-5945138|+|5932309|5947999	282,263,352	25,15,29	792,862,610	22,32,19	200	100	9.311201422e-06	0.000525894255636	0.849,0.898,0.859	0.947,0.931,0.941	-0.071
chr8:144909554-144909706|-|144906569|144911449	ENSG00000179950.13_3	PUF60	chr8	-	144909554	144909706	144906482	144906569	144911449	144911474	chr8:144909554-144909706|-|144906569|144911449	73,43,58	1727,1343,1877	47,84,73	367,348,434	200	100	0	0.0	0.021,0.016,0.015	0.06,0.108,0.078	-0.065
chr8:144909554-144909706|-|144909337|144911153	ENSG00000179950.13_3	PUF60	chr8	-	144909554	144909706	144909198	144909337	144911153	144911214	chr8:144909554-144909706|-|144909337|144911153	10,17,8	2,4,4	9,18,12	0,0,2	200	100	0.000149687423607	0.00512811522664	0.714,0.68,0.5	1.0,1.0,0.75	-0.285
chr5:140075613-140075786|+|140075430|140076105	ENSG00000112855.17_6	HARS2	chr5	+	140075613	140075786	140075322	140075430	140076105	140076199	chr5:140075613-140075786|+|140075430|140076105	368,319,354	73,45,72	488,558,489	64,41,50	200	100	3.38498962371e-05	0.00153879152	0.716,0.78,0.711	0.792,0.872,0.83	-0.096
chr5:140075687-140075786|+|140075430|140076105	ENSG00000112855.17_6	HARS2	chr5	+	140075687	140075786	140075322	140075430	140076105	140076199	chr5:140075687-140075786|+|140075430|140076105	561,549,567	73,45,72	841,941,818	64,41,50	199	100	4.32738088429e-06	0.000274203059194	0.794,0.86,0.798	0.868,0.92,0.892	-0.076
chr19:58987806-58987871|+|58987563|58988545	ENSG00000083838.15_3	ZNF446	chr19	+	58987806	58987871	58987522	58987563	58988545	58988927	chr19:58987806-58987871|+|58987563|58988545	17,25,22	19,33,40	71,98,54	36,35,24	165	100	4.49576733619e-08	5.0746573629e-06	0.352,0.315,0.25	0.544,0.629,0.577	-0.278
chr9:127055127-127055292|+|127020364|127064214	ENSG00000119408.16_3	NEK6	chr9	+	127055127	127055292	127020241	127020364	127064214	127064333	chr9:127055127-127055292|+|127020364|127064214	58,22,64	228,197,332	34,24,25	45,45,84	200	100	6.17560684912e-06	0.000371308527934	0.113,0.053,0.088	0.274,0.211,0.13	-0.12
chr2:32409341-32409407|+|32396442|32417404	ENSG00000152683.14_4	SLC30A6	chr2	+	32409341	32409407	32396355	32396442	32417404	32417485	chr2:32409341-32409407|+|32396442|32417404	198,89,157	3,29,10	170,159,106	2,2,4	166	100	9.76182548392e-05	0.00363546502554	0.975,0.649,0.904	0.981,0.98,0.941	-0.125
chr9:125047447-125047566|+|125033354|125075505	ENSG00000148187.18_4	MRRF	chr9	+	125047447	125047566	125033142	125033354	125075505	125075609	chr9:125047447-125047566|+|125033354|125075505	25,22,29	1,4,6	6,9,23	1,0,0	200	100	0.00011781156392	0.00423228762807	0.926,0.733,0.707	0.75,1.0,1.0	-0.128
chr9:116299075-116299198|+|116291544|116345729	ENSG00000138835.22_4	RGS3	chr9	+	116299075	116299198	116291500	116291544	116345729	116345970	chr9:116299075-116299198|+|116291544|116345729	131,178,183	0,5,14	69,52,46	0,0,0	200	100	7.56401541048e-05	0.00297444552656	1.0,0.947,0.867	1.0,1.0,1.0	-0.062
chr9:108241634-108241657|+|108234286|108246661	ENSG00000106701.12_5	FSD1L	chr9	+	108241634	108241657	108234184	108234286	108246661	108246783	chr9:108241634-108241657|+|108234286|108246661	4,0,1	14,11,15	15,19,10	11,12,8	123	100	9.6980091735e-09	1.30049582133e-06	0.189,0.0,0.051	0.526,0.563,0.504	-0.451
chr14:105617327-105617441|-|105617248|105617962	ENSG00000184916.9_4	JAG2	chr14	-	105617327	105617441	105617201	105617248	105617962	105618076	chr14:105617327-105617441|-|105617248|105617962	273,183,263	60,56,58	37,22,41	1,0,0	200	100	2.88280510574e-12	6.71818452776e-10	0.695,0.62,0.694	0.949,1.0,1.0	-0.313
chr14:105617619-105617733|-|105617248|105617962	ENSG00000184916.9_4	JAG2	chr14	-	105617619	105617733	105617201	105617248	105617962	105618076	chr14:105617619-105617733|-|105617248|105617962	805,469,896	60,56,58	50,70,76	1,0,0	200	100	3.31646232699e-09	4.88290565892e-07	0.87,0.807,0.885	0.962,1.0,1.0	-0.133
chr20:2640675-2640822|-|2640439|2640908	ENSG00000101365.21_4	IDH3B	chr20	-	2640675	2640822	2640344	2640439	2640908	2640954	chr20:2640675-2640822|-|2640439|2640908	3101,3290,3113	89,96,122	2267,2692,2821	2,3,0	200	100	0	0.0	0.946,0.945,0.927	0.998,0.998,1.0	-0.059
chr20:2640713-2640822|-|2640439|2640908	ENSG00000101365.21_4	IDH3B	chr20	-	2640713	2640822	2640344	2640439	2640908	2640955	chr20:2640713-2640822|-|2640439|2640908	1735,1893,1780	89,96,122	1371,1513,1654	2,3,0	200	100	0	0.0	0.907,0.908,0.879	0.997,0.996,1.0	-0.1
chr9:99271954-99272071|-|99266071|99284787	ENSG00000081377.16_4	CDC14B	chr9	-	99271954	99272071	99262389	99266071	99284787	99284885	chr9:99271954-99272071|-|99266071|99284787	76,83,79	49,50,50	129,152,97	35,47,33	200	100	1.78302175639e-05	0.000907444452968	0.437,0.454,0.441	0.648,0.618,0.595	-0.176
chr9:95094451-95094633|+|95088387|95099822	ENSG00000188312.14_3	CENPP	chr9	+	95094451	95094633	95088234	95088387	95099822	95099911	chr9:95094451-95094633|+|95088387|95099822	137,143,176	5,3,12	139,107,128	1,0,1	200	100	1.38039532708e-05	0.000734506138906	0.932,0.96,0.88	0.986,1.0,0.985	-0.066
chr9:72961520-72961565|+|72959185|72961981	ENSG00000198887.9_4	SMC5	chr9	+	72961520	72961565	72959059	72959185	72961981	72962077	chr9:72961520-72961565|+|72959185|72961981	217,170,306	8,18,32	221,233,194	5,5,2	145	100	9.66371331845e-08	1.0128147876e-05	0.949,0.867,0.868	0.968,0.97,0.985	-0.08
chr9:70206176-70206233|-|70195082|70212121	ENSG00000204778.4_4	CBWD4P	chr9	-	70206176	70206233	70195030	70195082	70212121	70212166	chr9:70206176-70206233|-|70195082|70212121	19,12,18	5,6,0	11,11,8	0,1,0	157	100	0.000120336337039	0.00430433281138	0.708,0.56,1.0	1.0,0.875,1.0	-0.202
