ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
5	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277167	17278378	17277167	17277388	17278292	17278378
76	"ENSG00000243708.10_3"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134016	42134147
86	"ENSG00000156345.17_2"	"CDK20"	chr9	-	90584108	90585812	90584108	90584264	90585482	90585812
99	"ENSG00000116691.11_3"	"MIIP"	chr1	+	12089279	12090181	12089279	12089338	12090084	12090181
103	"ENSG00000204713.11_3"	"TRIM27"	chr6	-	28870778	28876617	28870778	28872442	28876584	28876617
111	"ENSG00000135476.11_3"	"ESPL1"	chr12	+	53683187	53684253	53683187	53683378	53684130	53684253
125	"ENSG00000226562.4_5"	"CYP4F26P"	chr9	+	33604294	33604568	33604294	33604401	33604477	33604568
126	"ENSG00000165271.17_4"	"NOL6"	chr9	-	33469204	33470189	33469204	33469339	33470009	33470189
146	"ENSG00000124228.14_6"	"DDX27"	chr20	+	47850104	47852768	47850104	47850246	47852686	47852768
172	"ENSG00000104518.11_5"	"GSDMD"	chr8	+	144641946	144643593	144641946	144642139	144643539	144643593
205	"ENSG00000108671.11_6"	"PSMD11"	chr17	+	30806268	30807215	30806268	30806394	30807163	30807215
232	"ENSG00000185803.10_6"	"SLC52A2"	chr8	+	145583282	145584153	145583282	145583407	145583774	145584153
253	"ENSG00000284770.2_3"	"TBCE"	chr1	+	235599059	235599923	235599059	235599155	235599858	235599923
305	"ENSG00000181135.16_7"	"ZNF707"	chr8	+	144773242	144774500	144773242	144773369	144774414	144774500
325	"ENSG00000178971.16_6"	"CTC1"	chr17	-	8133208	8133786	8133208	8133286	8133764	8133786
334	"ENSG00000187193.9_4"	"MT1X"	chr16	+	56716381	56718108	56716381	56716480	56717869	56718108
346	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62366176	62364938	62365064	62365996	62366176
394	"ENSG00000186088.16_4"	"GSAP"	chr7	-	76958649	76959684	76958649	76958708	76959498	76959684
420	"ENSG00000172432.19_5"	"GTPBP2"	chr6	-	43588226	43589527	43588226	43589253	43589458	43589527
454	"ENSG00000232931.6_6"	"LINC00342"	chr2	-	96479063	96479705	96479063	96479284	96479656	96479705
487	"ENSG00000102901.13_4"	"CENPT"	chr16	-	67863667	67865261	67863667	67863991	67865118	67865261
512	"ENSG00000165525.18_3"	"NEMF"	chr14	-	50251642	50252038	50251642	50251722	50251937	50252038
530	"ENSG00000150394.14_4"	"CDH8"	chr16	-	61681145	61688005	61681145	61681792	61687822	61688005
607	"ENSG00000187531.14_5"	"SIRT7"	chr17	-	79872169	79873388	79872169	79872406	79873315	79873388
636	"ENSG00000213930.11_5"	"GALT"	chr9	+	34647085	34647958	34647085	34647255	34647653	34647958
638	"ENSG00000213930.11_5"	"GALT"	chr9	+	34647488	34647958	34647488	34647564	34647828	34647958
666	"ENSG00000231500.7_3"	"RPS18"	chr6	+	33243741	33244287	33243741	33243843	33244167	33244287
748	"ENSG00000142534.7_4"	"RPS11"	chr19	+	50000450	50001303	50000450	50000539	50000776	50001303
750	"ENSG00000142534.7_4"	"RPS11"	chr19	+	50000450	50001303	50000450	50000582	50001173	50001303
752	"ENSG00000143093.15_4"	"STRIP1"	chr1	+	110591733	110593031	110591733	110591860	110592964	110593031
761	"ENSG00000174748.21_7"	"RPL15"	chr3	+	23959340	23961043	23959340	23959522	23960686	23961043
782	"ENSG00000176754.13_5"	"LINC00303"	chr1	-	204006096	204006716	204006096	204006212	204006383	204006716
806	"ENSG00000113758.13_6"	"DBN1"	chr5	-	176894481	176894818	176894481	176894599	176894743	176894818
837	"ENSG00000148362.11_6"	"PAXX"	chr9	+	139887091	139887695	139887091	139887152	139887504	139887695
902	"ENSG00000214087.8_5"	"ARL16"	chr17	-	79649063	79650624	79649063	79649705	79650565	79650624
