ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr4:2826457-2826852|+|2826339|2826923	ENSG00000087266.17_7	SH3BP2	chr4	+	2826339	2826923	2826339	2826457	2826852	2826923	chr4:2826457-2826852|+|2826339|2826923	106,84,127	103,98,89	131,93,92	131,94,92	200	100	0.582276632209	1.0	0.34,0.3,0.416	0.333,0.331,0.333	0.02
chr4:2833705-2834057|+|2833649|2834139	ENSG00000087266.17_7	SH3BP2	chr4	+	2833649	2834139	2833649	2833705	2834057	2834139	chr4:2833705-2834057|+|2833649|2834139	18,10,9	106,133,98	14,12,13	153,135,141	200	100	0.489747278372	1.0	0.078,0.036,0.044	0.044,0.043,0.044	0.009
chr16:1499328-1500497|-|1499276|1500667	ENSG00000103249.18_4	CLCN7	chr16	-	1499276	1500667	1499276	1499328	1500497	1500667	chr16:1499328-1500497|-|1499276|1500667	63,50,37	317,288,359	104,96,100	421,447,405	200	100	0.00177488652118	0.0223231711777	0.09,0.08,0.049	0.11,0.097,0.11	-0.033
chr19:35769695-35769872|+|35769600|35769977	ENSG00000105698.16_4	USF2	chr19	+	35769600	35769977	35769600	35769695	35769872	35769977	chr19:35769695-35769872|+|35769600|35769977	359,346,412	44,22,32	300,334,347	39,20,20	200	100	0.636230804557	1.0	0.803,0.887,0.866	0.794,0.893,0.897	-0.009
chr5:140071100-140071191|+|140071037|140071341	ENSG00000112855.17_6	HARS2	chr5	+	140071037	140071341	140071037	140071100	140071191	140071341	chr5:140071100-140071191|+|140071037|140071341	134,132,147	8,14,8	212,262,219	6,5,6	191	100	0.000442635876262	0.00748595720695	0.898,0.832,0.906	0.949,0.965,0.95	-0.076
chr5:140073093-140073175|+|140073075|140073250	ENSG00000112855.17_6	HARS2	chr5	+	140073075	140073250	140073075	140073093	140073175	140073250	chr5:140073093-140073175|+|140073075|140073250	26,23,45	4,6,3	38,31,28	2,2,0	182	100	0.00525837052236	0.0505388596483	0.781,0.678,0.892	0.913,0.895,1.0	-0.152
chr9:139619391-139619506|-|139619109|139619562	ENSG00000233016.7_5	SNHG7	chr9	-	139619109	139619562	139619109	139619391	139619506	139619562	chr9:139619391-139619506|-|139619109|139619562	948,615,906	30,54,33	522,475,598	15,34,29	200	100	0.978367978213	1.0	0.94,0.851,0.932	0.946,0.875,0.912	-0.003
chr9:139620868-139621497|-|139620762|139621538	ENSG00000233016.7_5	SNHG7	chr9	-	139620762	139621538	139620762	139620868	139621497	139621538	chr9:139620868-139621497|-|139620762|139621538	248,148,289	241,205,246	103,105,105	152,171,177	200	100	0.00106382778935	0.0148351369746	0.34,0.265,0.37	0.253,0.235,0.229	0.086
chr9:136338722-136339101|-|136338536|136339210	ENSG00000160326.14_4	SLC2A6	chr9	-	136338536	136339210	136338536	136338722	136339101	136339210	chr9:136338722-136339101|-|136338536|136339210	45,48,49	124,231,184	21,21,21	90,115,108	200	100	0.104017010844	0.448497951502	0.154,0.094,0.118	0.104,0.084,0.089	0.03
chr9:136343538-136344089|-|136343375|136344218	ENSG00000160326.14_4	SLC2A6	chr9	-	136343375	136344218	136343375	136343538	136344089	136344218	chr9:136343538-136344089|-|136343375|136344218	20,25,38	140,185,163	22,15,13	139,113,122	200	100	0.214598730676	0.73185505399	0.067,0.063,0.104	0.073,0.062,0.051	0.016
