ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
7304	"ENSG00000278878.1_6"	"CU638689.1"	chrGL000195.1	+	140368	140627	140368	140463	140560	140627
7305	"ENSG00000278878.1_6"	"CU638689.1"	chrGL000195.1	+	140547	140920	140547	140627	140758	140920
7306	"ENSG00000280018.3_7"	"CU634019.6"	chrGL000195.1	+	140368	140516	140368	140463	140464	140516
7307	"ENSG00000280018.3_7"	"CU634019.6"	chrGL000195.1	+	140368	140757	140368	140516	140705	140757
7308	"ENSG00000280018.3_7"	"CU634019.6"	chrGL000195.1	+	140547	140920	140547	140757	140758	140920
7309	"ENSG00000280018.3_7"	"CU634019.6"	chrGL000195.1	+	140547	140968	140547	140920	140921	140968
7310	"ENSG00000277067.4_6"	"CU634019.1"	chrGL000195.1	-	46556	46801	46556	46647	46778	46801
7311	"ENSG00000277067.4_6"	"CU634019.1"	chrGL000195.1	-	48954	49119	48954	49078	49083	49119
7312	"ENSG00000277067.4_6"	"CU634019.1"	chrGL000195.1	-	74120	74237	74120	74167	74168	74237
7313	"ENSG00000275496.4_6"	"CU633906.1"	chrGL000195.1	-	74120	74237	74120	74165	74166	74237
7314	"ENSG00000279094.3_5"	"LINC01670"	chrGL000205.1	+	36259	36432	36259	36321	36420	36432
7315	"ENSG00000279094.3_5"	"LINC01670"	chrGL000205.1	+	36259	36631	36259	36389	36586	36631
7316	"ENSG00000279094.3_5"	"LINC01670"	chrGL000205.1	+	36259	36631	36259	36432	36586	36631
7317	"ENSG00000283047.1_4"	"FRG1FP"	chrGL000241.1	-	34494	34822	34494	34564	34693	34822
7318	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45556048	45556345	45556048	45556150	45556336	45556345
7319	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45556057	45556435	45556057	45556252	45556355	45556435
7320	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45571677	45572041	45571677	45571738	45571961	45572041
7321	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45571961	45572382	45571961	45572041	45572323	45572382
7322	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45572340	45572506	45572340	45572378	45572459	45572506
7323	"ENSG00000104859.15_5"	"CLASRP"	chr19	+	45573794	45574086	45573794	45573819	45573969	45574086
7324	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61906581	61906992	61906581	61906753	61906928	61906992
7325	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61910250	61910652	61910250	61910347	61910570	61910652
7326	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61910250	61910652	61910250	61910347	61910571	61910652
7327	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61910571	61910953	61910571	61910658	61910918	61910953
7328	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61914170	61914880	61914170	61914203	61914683	61914880
7329	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61917005	61917490	61917005	61917065	61917331	61917490
7330	"ENSG00000101199.13_6"	"ARFGAP1"	chr20	+	61917141	61917794	61917141	61917490	61917717	61917794
7331	"ENSG00000087266.17_7"	"SH3BP2"	chr4	+	2826339	2826828	2826339	2826457	2826732	2826828
7332	"ENSG00000087266.17_7"	"SH3BP2"	chr4	+	2826339	2826923	2826339	2826457	2826836	2826923
7333	"ENSG00000087266.17_7"	"SH3BP2"	chr4	+	2826339	2826923	2826339	2826457	2826875	2826923
7334	"ENSG00000087266.17_7"	"SH3BP2"	chr4	+	2828965	2829379	2828965	2829045	2829332	2829379
7335	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17278378	17277844	17277888	17278248	17278378
7336	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17278378	17277844	17277888	17278291	17278378
7337	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17278378	17277844	17277888	17278293	17278378
7338	"ENSG00000026025.16_6"	"VIM"	chr10	+	17277844	17278378	17277844	17277888	17278338	17278378
7339	"ENSG00000187522.16_6"	"HSPA14"	chr10	+	14881903	14882098	14881903	14881984	14882073	14882098
7340	"ENSG00000103479.16_4"	"RBL2"	chr16	+	53499349	53499723	53499349	53499514	53499682	53499723
7341	"ENSG00000184949.16_5"	"FAM227A"	chr22	-	39021823	39022308	39021823	39021940	39022184	39022308
7342	"ENSG00000184949.16_5"	"FAM227A"	chr22	-	39041270	39041650	39041270	39041391	39041567	39041650
7343	"ENSG00000169495.5_3"	"HTRA4"	chr8	+	38840112	38840567	38840112	38840208	38840471	38840567
7344	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208576823	208577271	208576823	208576840	208577247	208577271
7345	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208615360	208615843	208615360	208615516	208615680	208615843
7346	"ENSG00000163249.12_6"	"CCNYL1"	chr2	+	208615360	208615843	208615360	208615541	208615680	208615843
7347	"ENSG00000144036.15_4"	"EXOC6B"	chr2	-	72958135	72958364	72958135	72958181	72958283	72958364
7348	"ENSG00000197905.9_7"	"TEAD4"	chr12	+	3119736	3120234	3119736	3119862	3120169	3120234
7349	"ENSG00000151657.12_3"	"KIN"	chr10	-	7816545	7816854	7816545	7816623	7816793	7816854
7350	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177651331	177651730	177651331	177651552	177651642	177651730
7351	"ENSG00000175309.15_5"	"PHYKPL"	chr5	-	177656698	177657067	177656698	177656721	177656940	177657067
7352	"ENSG00000134453.16_4"	"RBM17"	chr10	+	6154172	6154592	6154172	6154324	6154522	6154592
7353	"ENSG00000134453.16_4"	"RBM17"	chr10	+	6154172	6154592	6154172	6154324	6154552	6154592
7354	"ENSG00000134453.16_4"	"RBM17"	chr10	+	6154172	6154592	6154172	6154324	6154557	6154592
7355	"ENSG00000134453.16_4"	"RBM17"	chr10	+	6157201	6157797	6157201	6157274	6157491	6157797
7356	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5950905	5951200	5950905	5951018	5951121	5951200
7357	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5955709	5956207	5955709	5955802	5956140	5956207
7358	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5955709	5956207	5955709	5955802	5956144	5956207
7359	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5959382	5959698	5959382	5959470	5959552	5959698
7360	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5963222	5963532	5963222	5963318	5963410	5963532
7361	"ENSG00000134452.19_4"	"FBH1"	chr10	+	5963222	5963532	5963222	5963320	5963410	5963532
7362	"ENSG00000156504.16_2"	"FAM122B"	chrX	-	133923114	133923292	133923114	133923169	133923252	133923292
7363	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1497388	1497679	1497388	1497569	1497655	1497679
7364	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1498874	1499328	1498874	1499094	1499276	1499328
7365	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1499276	1500667	1499276	1499328	1500267	1500667
7366	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1507329	1507757	1507329	1507388	1507694	1507757
7367	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1507329	1507757	1507329	1507438	1507694	1507757
7368	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1507329	1507757	1507329	1507588	1507694	1507757
7369	"ENSG00000103249.18_4"	"CLCN7"	chr16	-	1511324	1511675	1511324	1511471	1511603	1511675
