ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr19:45570594-45570852:45571272-45571312|+|45567888|45571677	ENSG00000104859.15_5	CLASRP	chr19	+	45570594	45570852	45571272	45571312	45567600	45567888	45571677	45571738	chr19:45570594-45570852:45571272-45571312|+|45567888|45571677	231,205,252	59,76,60	50,64,92	52,42,42	200	140	6.83330264287e-05	0.0020038499585	0.733,0.654,0.746	0.402,0.516,0.605	0.203
chr19:45570594-45570852:45571272-45571316|+|45567888|45571677	ENSG00000104859.15_5	CLASRP	chr19	+	45570594	45570852	45571272	45571316	45567600	45567888	45571677	45571738	chr19:45570594-45570852:45571272-45571316|+|45567888|45571677	231,205,252	14,42,25	50,64,92	14,22,23	200	144	9.1014199303e-05	0.00253676846111	0.922,0.778,0.879	0.72,0.677,0.742	0.147
chr2:208591565-208591600:208606946-208607066|+|208589598|208611770	ENSG00000163249.12_6	CCNYL1	chr2	+	208591565	208591600	208606946	208607066	208589523	208589598	208611770	208611937	chr2:208591565-208591600:208606946-208607066|+|208589598|208611770	166,143,217	316,181,331	85,70,51	207,226,128	135	200	4.35164836089e-05	0.00139153306006	0.438,0.539,0.493	0.378,0.315,0.371	0.135
chr19:19291494-19291570:19293381-19293492|-|19261573|19297701	ENSG00000064489.23_4	BORCS8-MEF2B	chr19	-	19291494	19291570	19293381	19293492	19261490	19261573	19297701	19297814	chr19:19291494-19291570:19293381-19293492|-|19261573|19297701	31,63,41	31,62,55	18,32,35	53,65,77	200	176	0.00012275057582	0.00323498651608	0.468,0.472,0.396	0.23,0.302,0.286	0.173
chr8:144900542-144900704:144903987-144904083|-|144900455|144906482	ENSG00000179950.13_3	PUF60	chr8	-	144900542	144900704	144903987	144904083	144900362	144900455	144906482	144906566	chr8:144900542-144900704:144903987-144904083|-|144900455|144906482	3398,2886,3524	7150,6433,7646	1172,1196,1235	3738,3825,3826	196	200	8.33999083094e-06	0.00035639992638	0.327,0.314,0.32	0.242,0.242,0.248	0.076
chr9:127064214-127064333:127074787-127074928|+|127020364|127076201	ENSG00000119408.16_3	NEK6	chr9	+	127064214	127064333	127074787	127074928	127020248	127020364	127076201	127076264	chr9:127064214-127064333:127074787-127074928|+|127020364|127076201	230,198,338	510,460,683	50,45,84	302,333,365	200	200	2.44249065418e-15	6.66199675464e-13	0.311,0.301,0.331	0.142,0.119,0.187	0.165
chr9:123538370-123538504:123550046-123550556|-|123535118|123555426	ENSG00000119402.17_3	FBXW2	chr9	-	123538370	123538504	123550046	123550556	123535031	123535118	123555426	123555535	chr9:123538370-123538504:123550046-123550556|-|123535118|123555426	320,179,287	626,439,614	151,149,139	599,634,475	200	200	3.83361166145e-08	3.31456793348e-06	0.338,0.29,0.319	0.201,0.19,0.226	0.11
chr9:123540628-123540823:123550046-123550556|-|123538504|123555426	ENSG00000119402.17_3	FBXW2	chr9	-	123540628	123540823	123550046	123550556	123538366	123538504	123555426	123555645	chr9:123540628-123540823:123550046-123550556|-|123538504|123555426	314,178,288	749,451,789	147,154,142	739,800,588	200	200	2.6340174486e-09	2.99032986184e-07	0.295,0.283,0.267	0.166,0.161,0.195	0.108
chr14:105617327-105617441:105617619-105617733|-|105617248|105618274	ENSG00000184916.9_4	JAG2	chr14	-	105617327	105617441	105617619	105617733	105617201	105617248	105618274	105618394	chr14:105617327-105617441:105617619-105617733|-|105617248|105618274	325,196,343	262,180,248	13,18,23	37,22,41	200	200	0.000288633297214	0.00636624198958	0.554,0.521,0.58	0.26,0.45,0.359	0.195
chr9:101546234-101546439:101552385-101552888|-|101544855|101558414	ENSG00000165138.18_3	ANKS6	chr9	-	101546234	101546439	101552385	101552888	101544748	101544855	101558414	101558837	chr9:101546234-101546439:101552385-101552888|-|101544855|101558414	121,131,145	153,127,199	31,47,42	91,100,70	200	200	0.000400404398273	0.00823057037101	0.442,0.508,0.422	0.254,0.32,0.375	0.141
chr11:110306557-110306682:110327641-110327771|+|110301029|110333077	ENSG00000137714.3_3	FDX1	chr11	+	110306557	110306682	110327641	110327771	110300671	110301029	110333077	110335608	chr11:110306557-110306682:110327641-110327771|+|110301029|110333077	649,439,804	1619,1341,1418	155,186,228	1148,1067,1206	200	200	1.11022302463e-15	3.16217062369e-13	0.286,0.247,0.362	0.119,0.148,0.159	0.156
chr20:2639404-2639483:2640170-2640231|-|2639168|2640908	ENSG00000101365.21_4	IDH3B	chr20	-	2639404	2639483	2640170	2640231	2639040	2639168	2640908	2641011	chr20:2639404-2639483:2640170-2640231|-|2639168|2640908	51,65,33	209,129,212	11,12,15	120,113,162	161	179	2.04938884026e-05	0.000750180037802	0.213,0.359,0.148	0.092,0.106,0.093	0.143
chr1:43233179-43233295:43239233-43239320|+|43233061|43240407	ENSG00000164008.16_5	C1orf50	chr1	+	43233179	43233295	43239233	43239320	43232919	43233061	43240407	43240539	chr1:43233179-43233295:43239233-43239320|+|43233061|43240407	403,301,261	234,277,274	65,88,128	161,165,193	200	187	5.35913867061e-07	3.39034649855e-05	0.617,0.504,0.471	0.274,0.333,0.383	0.201
chr6:8027439-8027632:8054502-8054605|-|8026658|8062766	ENSG00000188428.20_4	BLOC1S5	chr6	-	8027439	8027632	8054502	8054605	8026599	8026658	8062766	8062849	chr6:8027439-8027632:8054502-8054605|-|8026658|8062766	4,4,5	22,23,21	1,0,0	24,29,28	200	200	5.62839033247e-06	0.000256858905141	0.154,0.148,0.192	0.04,0.0,0.0	0.151
chr5:150488015-150488111:150489313-150489407|-|150484864|150496687	ENSG00000197043.14_3	ANXA6	chr5	-	150488015	150488111	150489313	150489407	150484805	150484864	150496687	150496741	chr5:150488015-150488111:150489313-150489407|-|150484864|150496687	864,1210,1238	614,976,852	1320,1782,1608	2116,2665,2759	194	196	0	0.0	0.587,0.556,0.595	0.387,0.403,0.371	0.192
chr8:142146607-142146890:142160932-142161052|+|142138908|142161717	ENSG00000105339.10_5	DENND3	chr8	+	142146607	142146890	142160932	142161052	142138736	142138908	142161717	142161936	chr8:142146607-142146890:142160932-142161052|+|142138908|142161717	110,176,140	196,441,240	96,119,62	312,398,300	200	200	1.61280659361e-06	8.86183187628e-05	0.359,0.285,0.368	0.235,0.23,0.171	0.125
chr8:130916744-130916831:130983188-130983241|-|130915596|131028615	ENSG00000153310.19_5	FAM49B	chr8	-	130916744	130916831	130983188	130983241	130915557	130915596	131028615	131028697	chr8:130916744-130916831:130983188-130983241|-|130915596|131028615	515,918,682	986,1342,1028	309,434,332	778,895,746	153	187	0.000282334853084	0.00625950010512	0.39,0.455,0.448	0.327,0.372,0.352	0.081
chr1:162558482-162558623:162560112-162560301|+|162557458|162567581	ENSG00000117143.13_5	UAP1	chr1	+	162558482	162558623	162560112	162560301	162557264	162557458	162567581	162567648	chr1:162558482-162558623:162560112-162560301|+|162557458|162567581	2175,1555,1648	208,93,127	1470,899,1571	605,300,630	200	200	0	0.0	0.913,0.944,0.928	0.708,0.75,0.714	0.204
chr2:24181170-24181225:24194145-24194284|+|24163518|24199838	ENSG00000173960.14_4	UBXN2A	chr2	+	24181170	24181225	24194145	24194284	24163332	24163518	24199838	24199945	chr2:24181170-24181225:24194145-24194284|+|24163518|24199838	213,126,218	244,174,266	92,67,92	230,185,182	155	200	1.35134645363e-07	1.03308991948e-05	0.53,0.483,0.514	0.34,0.318,0.395	0.158
chr8:103226281-103226386:103244458-103244532|-|103225117|103251054	ENSG00000048392.11_2	RRM2B	chr8	-	103226281	103226386	103244458	103244532	103225003	103225117	103251054	103251102	chr8:103226281-103226386:103244458-103244532|-|103225117|103251054	186,176,224	219,242,298	225,226,124	407,443,272	174	200	0.00016633433752	0.00409678259275	0.494,0.455,0.464	0.389,0.37,0.344	0.103
chr8:101730000-101730116:101730314-101730508|-|101727829|101733618	ENSG00000070756.16_5	PABPC1	chr8	-	101730000	101730116	101730314	101730508	101727689	101727829	101733618	101733680	chr8:101730000-101730116:101730314-101730508|-|101727829|101733618	17960,10732,17823	20952,15628,18187	7692,6144,6715	13466,9707,11246	200	200	0.000211636105932	0.00498828858984	0.462,0.407,0.495	0.364,0.388,0.374	0.079
chr8:98900302-98900470:98943180-98943750|+|98881515|98954004	ENSG00000132561.14_6	MATN2	chr8	+	98900302	98900470	98943180	98943750	98881067	98881515	98954004	98954127	chr8:98900302-98900470:98943180-98943750|+|98881515|98954004	404,215,442	641,388,718	109,93,115	392,407,391	200	200	8.41549052666e-14	1.90071973755e-11	0.387,0.357,0.381	0.218,0.186,0.227	0.165
chr8:96044222-96044322:96047681-96047804|+|96037433|96053797	ENSG00000156170.13_4	NDUFAF6	chr8	+	96044222	96044322	96047681	96047804	96037295	96037433	96053797	96053854	chr8:96044222-96044322:96047681-96047804|+|96037433|96053797	535,359,498	704,435,572	186,218,232	531,422,533	200	200	3.40765415885e-10	4.47198161478e-08	0.432,0.452,0.465	0.259,0.341,0.303	0.149
chr8:96044222-96044326:96047681-96047804|+|96037433|96053797	ENSG00000156170.13_4	NDUFAF6	chr8	+	96044222	96044326	96047681	96047804	96037295	96037433	96053797	96053854	chr8:96044222-96044326:96047681-96047804|+|96037433|96053797	535,358,498	704,435,572	186,219,230	531,422,533	200	200	3.89977716786e-10	5.07128598576e-08	0.432,0.451,0.465	0.259,0.342,0.301	0.149
chr8:95837120-95837295:95839949-95840021|+|95835789|95841202	ENSG00000164941.13_5	INTS8	chr8	+	95837120	95837295	95839949	95840021	95835517	95835789	95841202	95841254	chr8:95837120-95837295:95839949-95840021|+|95835789|95841202	432,354,576	418,322,473	309,312,284	464,428,367	200	172	1.33867637495e-05	0.000528978503717	0.471,0.486,0.512	0.364,0.385,0.4	0.107
